location,Unnamed: 0,area_type,availability,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
Devanahalli,520,Built-up  Area,Not Ready,658.0,1,0,26.91,1,61.130174,32932.458,536.6728579,Tier 1
Devarachikkanahalli,929,Built-up  Area,Not Ready,615.0,1,1,24.0,1,57.135345,29371.2,419.6669492,Tier 1
Dodda Nekkundi,75,Built-up  Area,Ready To Move,850.0,2,1,28.0,2,78.96755,34266.4,433.9301397,Tier 1
Doddathoguru,74,Built-up  Area,Not Ready,550.0,1,0,17.0,1,51.09665,20804.6,306.096115,Tier 2
Domlur,364,Built-up  Area,Not Ready,640.0,1,0,55.0,1,59.45792,67309.0,769.8435919,Tier 1
EPIP Zone,741,Built-up  Area,Not Ready,1125.0,2,0,65.0,2,104.515875,79547.0,473.0591992,Tier 1
Electronic City,34,Built-up  Area,Not Ready,418.0,1,0,12.0,1,38.833454,14685.6,219.5479873,Tier 1
Electronic City Phase II,130,Built-up  Area,Not Ready,575.0,1,0,16.75,1,53.419225,20498.65,283.7235529,Tier 1
Electronics City Phase 1,57,Built-up  Area,Not Ready,360.0,1,0,16.9,1,33.44508,20682.22,326.5159843,Tier 1
Frazer Town,359,Built-up  Area,Not Ready,560.0,1,0,75.0,1,52.02568,91785.0,607.9790418,Tier 1
Garudachar Palya,2190,Built-up  Area,Ready To Move,1060.0,2,1,48.5,2,98.47718,59354.3,591.2956192,Tier 1
Gottigere,1,Built-up  Area,Ready To Move,812.0,1,0,25.0,1,75.437236,30595.0,335.3096534,Tier 1
Green Glen Layout,390,Built-up  Area,Ready To Move,940.0,2,0,48.0,2,87.32882,58742.4,549.5434284,Tier 1
Gubbalala,898,Built-up  Area,Ready To Move,1008.0,2,1,32.25,2,93.646224,39467.55,421.4537257,Tier 1
Gunjur,323,Built-up  Area,Not Ready,1063.0,2,0,40.0,2,98.755889,48952.0,442.7858568,Tier 2
HSR Layout,193,Built-up  Area,Ready To Move,1009.0,2,0,44.0,2,93.739127,53847.2,483.0055721,Tier 1
Haralur Road,136,Built-up  Area,Not Ready,560.0,1,0,38.0,1,52.02568,46504.4,476.8942605,Tier 1
Harlur,256,Built-up  Area,Not Ready,936.0,2,0,45.0,2,86.957208,55071.0,502.7816504,Tier 1
Hebbal,155,Built-up  Area,Not Ready,812.0,2,0,38.0,2,75.437236,46504.4,455.063101,Tier 1
Hebbal Kempapura,781,Built-up  Area,Ready To Move,1130.0,2,0,40.0,2,104.98039,48952.0,458.187104,Tier 1
Hegde Nagar,16,Built-up  Area,Not Ready,1000.0,2,0,40.0,2,92.903,48952.0,202.6596806,Tier 1
Hennur,611,Built-up  Area,Not Ready,960.0,2,1,40.6,2,89.18688,49686.28,513.6459817,Tier 1
Hennur Road,131,Built-up  Area,Not Ready,901.0,2,0,30.27,2,83.705603,37044.426,368.8649904,Tier 1
Hoodi,79,Built-up  Area,Not Ready,706.0,1,0,43.94,1,65.589518,53773.772,466.7873498,Tier 1
Horamavu Agara,258,Built-up  Area,Not Ready,625.0,1,1,27.0,1,58.064375,33042.6,413.7565532,Tier 2
Horamavu Banaswadi,610,Built-up  Area,Not Ready,925.0,2,0,38.0,2,85.935275,46504.4,466.2215947,Tier 1
Hormavu,290,Built-up  Area,Not Ready,715.0,1,0,32.78,1,66.425645,40116.164,365.9133122,Tier 1
Hosa Road,917,Built-up  Area,Not Ready,615.0,1,0,24.9,1,57.135345,30472.62,394.1491426,Tier 1
Hosakerehalli,206,Built-up  Area,Not Ready,925.0,1,0,41.23,1,85.935275,50457.274,342.1527075,Tier 1
Hosur Road,76,Built-up  Area,Not Ready,460.0,1,0,21.0,1,42.73538,25699.8,368.8406187,Tier 1
Hulimavu,133,Built-up  Area,Not Ready,450.0,1,0,20.0,1,41.80635,24476.0,364.7874251,Tier 1
Iblur Village,721,Built-up  Area,Not Ready,1400.0,2,0,68.0,2,130.0642,83218.4,639.8255631,Tier 1
Indira Nagar,121,Built-up  Area,Not Ready,500.0,1,0,57.0,1,46.4515,69756.6,883.3577843,Tier 1
JP Nagar,263,Built-up  Area,Not Ready,745.0,1,0,15.0,1,69.212735,18357.0,179.6301714,Tier 1
Jakkur,135,Built-up  Area,Not Ready,850.0,1,0,19.9,2,78.96755,24353.62,308.4003493,Tier 1
Jalahalli,379,Built-up  Area,Not Ready,600.0,1,0,31.05,1,55.7418,37998.99,395.1863772,Tier 1
Jigani,341,Built-up  Area,Not Ready,914.0,2,0,39.0,2,84.913342,47728.2,514.5655953,Tier 1
KR Puram,66,Built-up  Area,Not Ready,700.0,1,0,21.5,1,65.0321,26311.7,305.6107984,Tier 1
Kadugodi,27,Built-up  Area,Not Ready,1010.0,2,0,34.0,2,93.83203,41609.2,424.9315884,Tier 1
Kaggadasapura,143,Built-up  Area,Not Ready,775.0,1,0,29.5,2,71.999825,36102.1,353.4761871,Tier 1
Kaggalipura,3162,Plot  Area,Not Ready,700.0,1,0,35.0,1,65.0321,42833.0,540.7813583,Tier 1
Kalena Agrahara,58,Built-up  Area,Ready To Move,610.0,1,1,30.0,1,56.67083,36714.0,434.7050149,Tier 1
Kalyan nagar,152,Built-up  Area,Ready To Move,820.0,2,0,39.0,2,76.18046,47728.2,447.0434131,Tier 1
Kambipura,1717,Built-up  Area,Not Ready,883.0,2,1,29.0,2,82.033349,35490.2,432.631368,Tier 2
Kammasandra,487,Built-up  Area,Not Ready,610.0,1,0,18.5,1,56.67083,22640.3,303.4420611,Tier 2
Kanakapura,108,Built-up  Area,Not Ready,551.0,1,0,30.0,1,51.189553,36714.0,395.0655251,Tier 1
Kanakpura Road,30,Built-up  Area,Not Ready,381.0,1,0,25.0,1,35.396043,30595.0,371.2356877,Tier 1
Kannamangala,233,Built-up  Area,Not Ready,957.0,2,0,43.63,2,88.908171,53394.394,465.3706245,Tier 1
Kasavanhalli,147,Built-up  Area,Not Ready,770.0,1,0,38.4,1,71.53531,46993.92,421.5321357,Tier 1
Kathriguppe,4454,Plot  Area,Not Ready,754.0,2,0,68.48,2,70.048862,83805.824,658.5491931,Tier 1
Kaval Byrasandra,137,Built-up  Area,Not Ready,480.0,1,0,25.0,1,44.59344,30595.0,274.4349842,Tier 1
Kengeri,2,Built-up  Area,Not Ready,340.0,1,0,10.0,1,31.58702,12238.0,153.6835911,Tier 1
Kengeri Satellite Town,54,Built-up  Area,Not Ready,410.0,1,0,15.0,1,38.09023,18357.0,307.2033405,Tier 1
Kodichikkanahalli,160,Built-up  Area,Not Ready,450.0,1,0,18.0,1,41.80635,22028.4,422.5263152,Tier 2
Kogilu,264,Built-up  Area,Not Ready,540.0,1,0,28.0,1,50.16762,34266.4,455.9017652,Tier 1
Koramangala,528,Built-up  Area,Not Ready,1005.0,1,0,63.0,2,93.367515,77099.4,696.9777375,Tier 1
Kothannur,248,Built-up  Area,Not Ready,740.0,2,0,34.0,2,68.74822,41609.2,370.4872286,Tier 3
Kothanur,241,Built-up  Area,Not Ready,627.0,1,0,30.0,1,58.250181,36714.0,493.9829715,Tier 1
Kudlu,1358,Built-up  Area,Ready To Move,720.0,1,1,33.0,1,66.89016,40385.4,530.775354,Tier 1
Kudlu Gate,646,Built-up  Area,Not Ready,703.0,1,0,38.25,1,65.310809,46810.35,447.8778941,Tier 1
Kumaraswami Layout,1227,Built-up  Area,Ready To Move,800.0,1,0,29.0,1,74.3224,35490.2,318.3445816,Tier 1
Kundalahalli,116,Built-up  Area,Not Ready,735.0,1,0,48.27,1,68.283705,59072.826,439.0959747,Tier 1
Lakshminarayana Pura,228,Built-up  Area,Ready To Move,1145.0,2,0,70.0,2,106.373935,85666.0,708.219314,Tier 1
Lingadheeranahalli,4529,Super built-up  Area,Not Ready,1506.0,2,1,81.31,3,139.911918,99507.178,605.818332,Tier 1
Magadi Road,44,Built-up  Area,Not Ready,440.0,1,0,27.0,1,40.87732,33042.6,474.2236526,Tier 1
Mahadevpura,68,Built-up  Area,Not Ready,730.0,1,0,35.0,1,67.81919,42833.0,491.1921072,Tier 1
Malleshpalya,477,Built-up  Area,Not Ready,1052.0,2,1,40.0,2,97.733956,48952.0,415.9856602,Tier 1
Malleshwaram,118,Built-up  Area,Not Ready,480.0,1,0,45.0,1,44.59344,55071.0,760.4961211,Tier 1
Marathahalli,172,Built-up  Area,Not Ready,607.0,1,1,35.0,1,56.392121,42833.0,461.0507734,Tier 1
Margondanahalli,190,Built-up  Area,Not Ready,900.0,1,0,45.0,2,83.6127,55071.0,435.8673278,Tier 1
Munnekollal,59,Built-up  Area,Not Ready,950.0,2,1,40.0,2,88.25785,48952.0,365.9133122,Tier 1
Mysore Road,1102,Built-up  Area,Not Ready,500.0,1,0,17.5,1,46.4515,21416.5,461.0507734,Tier 1
Nagarbhavi,21,Built-up  Area,Not Ready,710.0,1,0,36.0,1,65.96113,44056.8,460.187921,Tier 1
Nagavara,437,Built-up  Area,Not Ready,400.0,1,0,14.0,1,37.1612,17133.2,329.321981,Tier 1
Old Airport Road,140,Built-up  Area,Not Ready,946.0,2,1,50.0,2,87.886238,61190.0,627.2799638,Tier 1
Old Madras Road,1491,Built-up  Area,Not Ready,935.0,2,0,32.0,2,86.864305,39161.6,447.8778941,Tier 1
Padmanabhanagar,83,Built-up  Area,Not Ready,1020.0,2,0,45.0,2,94.76106,55071.0,515.460492,Tier 1
Pai Layout,694,Built-up  Area,Ready To Move,780.0,2,1,34.0,2,72.46434,41609.2,428.8844404,Tier 1
Panathur,800,Built-up  Area,Not Ready,661.0,1,1,36.0,1,61.408883,44056.8,437.0724909,Tier 1
Poorna Pragna Layout,779,Built-up  Area,Ready To Move,920.0,2,1,39.55,2,85.47076,48401.29,526.8016103,Tier 1
R.T. Nagar,114,Built-up  Area,Ready To Move,800.0,1,0,45.0,2,74.3224,55071.0,395.1863772,Tier 1
Rachenahalli,2134,Built-up  Area,Not Ready,440.0,1,0,28.0,1,40.87732,34266.4,421.2257896,Tier 1
Raja Rajeshwari Nagar,253,Built-up  Area,Not Ready,500.0,1,0,21.0,1,46.4515,25699.8,263.4575848,Tier 1
Rajaji Nagar,22,Built-up  Area,Not Ready,660.0,1,0,65.0,1,61.31598,79547.0,768.4179556,Tier 1
Ramagondanahalli,624,Built-up  Area,Not Ready,540.0,1,0,30.0,1,50.16762,36714.0,459.2379918,Tier 1
Ramamurthy Nagar,24,Built-up  Area,Not Ready,360.0,1,0,26.0,1,33.44508,31818.8,380.5498447,Tier 1
Rayasandra,910,Built-up  Area,Not Ready,470.0,1,1,16.5,1,43.66441,20192.7,402.5046434,Tier 2
Sahakara Nagar,443,Built-up  Area,Not Ready,960.0,2,0,45.0,2,89.18688,55071.0,504.9603709,Tier 1
Sanjay nagar,17,Built-up  Area,Not Ready,960.0,1,0,32.0,1,89.18688,39161.6,436.820866,Tier 1
Sarjapur,255,Built-up  Area,Not Ready,625.0,1,0,17.09,1,58.064375,20914.742,263.4575848,Tier 1
Sarjapur  Road,25,Built-up  Area,Not Ready,475.0,1,0,19.65,1,44.128925,24047.67,336.0428377,Tier 1
Sarjapura - Attibele Road,1306,Built-up  Area,Not Ready,740.0,1,1,22.8,1,68.74822,27902.64,362.2860592,Tier 1
Seegehalli,828,Built-up  Area,Not Ready,800.0,1,0,27.0,2,74.3224,33042.6,386.595369,Tier 1
Singasandra,117,Built-up  Area,Ready To Move,600.0,1,0,29.5,1,55.7418,36102.1,384.7524134,Tier 1
Somasundara Palya,188,Built-up  Area,Ready To Move,1033.0,2,0,46.0,2,95.968799,56294.8,400.913716,Tier 2
Sonnenahalli,380,Built-up  Area,Not Ready,605.0,1,0,30.24,1,56.206315,37007.712,412.8812896,Tier 2
Subramanyapura,159,Built-up  Area,Not Ready,929.0,1,0,33.53,2,86.306887,41034.014,461.0507734,Tier 1
TC Palaya,356,Built-up  Area,Not Ready,900.0,1,0,39.4,1,83.6127,48217.72,313.6399819,Tier 1
Talaghattapura,884,Built-up  Area,Not Ready,921.0,2,0,27.24,2,85.563663,33336.312,320.7309728,Tier 1
Thanisandra,122,Built-up  Area,Not Ready,445.0,1,0,25.25,1,41.341835,30900.95,347.367021,Tier 1
Thigalarapalya,1656,Built-up  Area,Ready To Move,1000.0,2,1,48.53,2,92.903,59391.014,639.2798295,Tier 1
Thubarahalli,171,Built-up  Area,Not Ready,975.0,2,1,47.0,2,90.580425,57518.6,515.9377702,Tier 1
Tumkur Road,1431,Built-up  Area,Not Ready,708.0,2,1,32.0,2,65.775324,39161.6,347.7640119,Tier 1
Ulsoor,292,Built-up  Area,Not Ready,840.0,1,0,60.0,1,78.03852,73428.0,164.6609905,Tier 1
Uttarahalli,0,Built-up  Area,Not Ready,661.0,1,0,30.0,1,61.408883,36714.0,342.1527075,Tier 1
Varthur,10,Built-up  Area,Not Ready,674.0,1,1,19.9,1,62.616622,24353.62,340.5730551,Tier 1
Vidyaranyapura,113,Built-up  Area,Not Ready,1000.0,2,0,35.0,2,92.903,42833.0,364.3562343,Tier 1
Vijayanagar,71,Built-up  Area,Not Ready,492.0,1,0,34.78,1,45.708276,42563.764,617.8407796,Tier 1
Vittasandra,4824,Super built-up  Area,Ready To Move,1238.0,2,0,62.3,2,115.013914,76242.74,439.3045713,Tier 2
Whitefield,3,Built-up  Area,Not Ready,516.0,1,0,21.0,1,47.937948,25699.8,341.5190914,Tier 1
Yelachenahalli,357,Built-up  Area,Not Ready,800.0,1,1,30.0,2,74.3224,36714.0,463.4901955,Tier 1
Yelahanka,125,Built-up  Area,Not Ready,567.0,1,0,14.0,1,52.676001,17133.2,48.92783718,Tier 1
Yelahanka New Town,149,Built-up  Area,Not Ready,350.0,1,0,13.5,1,32.51605,16521.3,246.9914857,Tier 1
Yeshwanthpur,161,Built-up  Area,Not Ready,400.0,1,0,32.0,1,37.1612,39161.6,421.5321357,Tier 1
other,7,Built-up  Area,Not Ready,375.0,1,0,10.0,1,34.838625,12238.0,35.28089787,Tier 1
