location,Unnamed: 0,area_type,availability,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
Devarachikkanahalli,11840,Super built-up  Area,Ready To Move,1705.0,3,3,160.0,3,158.399615,195808.0,1756.383899,Tier 4
Dodda Nekkundi,12952,Super built-up  Area,Ready To Move,3800.0,4,3,600.0,4,353.0314,734280.0,2079.928301,Tier 4
Doddathoguru,13317,Super built-up  Area,Ready To Move,1875.0,3,3,85.0,3,174.193125,104023.0,847.2183743,Tier 4
Domlur,12362,Super built-up  Area,Ready To Move,2400.0,4,3,600.0,6,222.9672,734280.0,3293.21981,Tier 2
EPIP Zone,13283,Super built-up  Area,Ready To Move,3800.0,5,3,268.0,4,353.0314,327978.4,1412.132654,Tier 4
Electronic City,13304,Super built-up  Area,Ready To Move,4000.0,5,3,700.0,4,371.612,856660.0,5122.786371,Tier 4
Electronic City Phase II,13266,Super built-up  Area,Ready To Move,2400.0,4,3,295.0,4,222.9672,361021.0,3238.332813,Tier 4
Electronics City Phase 1,13233,Super built-up  Area,Ready To Move,2040.0,3,3,137.0,3,189.52212,167660.6,1156.643055,Tier 4
Frazer Town,12783,Super built-up  Area,Ready To Move,5400.0,6,3,660.0,5,501.6762,807708.0,2371.118263,Tier 3
Garudachar Palya,13008,Super built-up  Area,Ready To Move,1960.0,3,3,160.0,3,182.08988,195808.0,1075.337081,Tier 3
Gottigere,13175,Super built-up  Area,Ready To Move,3000.0,4,3,150.0,4,278.709,183570.0,1094.09296,Tier 4
Green Glen Layout,13314,Super built-up  Area,Ready To Move,3270.0,4,3,230.0,4,303.79281,281474.0,1069.878517,Tier 4
Gubbalala,13295,Super built-up  Area,Ready To Move,5000.0,6,3,425.0,6,464.515,520115.0,1119.694735,Tier 4
Gunjur,12573,Super built-up  Area,Ready To Move,2132.0,3,3,95.0,4,198.069196,116261.0,746.5737604,Tier 4
HSR Layout,13205,Super built-up  Area,Ready To Move,3500.0,5,3,350.0,5,325.1605,428330.0,1921.044889,Tier 4
Haralur Road,13302,Super built-up  Area,Ready To Move,3700.0,5,3,325.0,4,343.7411,397735.0,2016.023258,Tier 4
Harlur,12808,Super built-up  Area,Ready To Move,3425.0,5,3,320.0,4,318.192775,391616.0,1230.750761,Tier 4
Hebbal,13297,Super built-up  Area,Ready To Move,6000.0,8,3,650.0,8,557.418,795470.0,3018.784826,Tier 4
Hebbal Kempapura,12966,Super built-up  Area,Ready To Move,3895.0,5,3,495.0,5,361.857185,605781.0,1716.70885,Tier 4
Hegde Nagar,12900,Super built-up  Area,Ready To Move,3750.0,7,3,450.0,6,348.38625,550710.0,1693.655902,Tier 4
Hennur,13222,Super built-up  Area,Ready To Move,2502.0,5,3,170.0,5,232.443306,208046.0,1712.474301,Tier 4
Hennur Road,13121,Super built-up  Area,Ready To Move,5600.0,6,3,515.0,5,520.2568,630257.0,2744.349842,Tier 4
Hoodi,13167,Super built-up  Area,Ready To Move,3385.0,5,3,395.0,5,314.476655,483401.0,1601.011477,Tier 4
Horamavu Agara,13208,Super built-up  Area,Ready To Move,2400.0,3,3,92.0,5,222.9672,112589.6,769.4438808,Tier 4
Horamavu Banaswadi,13236,Super built-up  Area,Ready To Move,3800.0,8,3,200.0,6,353.0314,244760.0,1073.480491,Tier 4
Hormavu,13019,Super built-up  Area,Ready To Move,4818.0,4,3,390.0,4,447.606654,477282.0,1492.926314,Tier 4
Hosa Road,13100,Super built-up  Area,Ready To Move,2500.0,3,3,130.0,4,232.2575,159094.0,1246.570362,Tier 4
Hosakerehalli,12188,Super built-up  Area,Ready To Move,4500.0,6,3,500.0,8,418.0635,611900.0,2055.051363,Tier 4
Hosur Road,13290,Super built-up  Area,Ready To Move,3600.0,5,3,240.0,5,334.4508,293712.0,1200.052068,Tier 4
Hulimavu,12984,Super built-up  Area,Ready To Move,3560.0,5,3,318.0,4,330.73468,389168.4,5796.066865,Tier 4
Iblur Village,13220,Super built-up  Area,Ready To Move,5515.0,6,3,425.0,5,512.360045,520115.0,1260.014536,Tier 3
Indira Nagar,12391,Super built-up  Area,Ready To Move,4000.0,8,3,750.0,8,371.612,917850.0,3983.733641,Tier 2
JP Nagar,13126,Super built-up  Area,Ready To Move,4000.0,5,3,441.0,7,371.612,539695.8,1756.383899,Tier 4
Jakkur,13240,Super built-up  Area,Ready To Move,5230.0,6,3,559.0,4,485.88269,684104.2,1547.429355,Tier 4
Jalahalli,13294,Super built-up  Area,Ready To Move,2404.0,4,3,165.0,3,223.338812,201927.0,1427.061918,Tier 4
Jigani,13157,Super built-up  Area,Ready To Move,3170.0,5,3,230.0,4,294.50251,281474.0,1519.947605,Tier 4
KR Puram,13282,Super built-up  Area,Ready To Move,4600.0,9,3,255.0,9,427.3538,312069.0,2140.592876,Tier 4
Kadugodi,13134,Super built-up  Area,Ready To Move,6200.0,9,3,290.0,9,575.9986,354902.0,1384.106877,Tier 4
Kaggadasapura,12983,Super built-up  Area,Ready To Move,2500.0,5,3,150.0,5,232.2575,183570.0,1024.557274,Tier 4
Kaggalipura,12666,Super built-up  Area,Ready To Move,3150.0,5,1,212.0,4,292.64445,259445.6,905.6354477,Tier 4
Kalena Agrahara,12953,Super built-up  Area,Ready To Move,1902.0,3,3,175.0,3,176.701506,214165.0,1277.856911,Tier 4
Kalyan nagar,12329,Super built-up  Area,Ready To Move,8840.0,8,3,400.0,6,821.26252,489520.0,1756.383899,Tier 4
Kambipura,13023,Super built-up  Area,Ready To Move,1083.0,2,1,57.5,3,100.613949,70368.5,730.9978287,Tier 4
Kammasandra,13183,Super built-up  Area,Ready To Move,1616.0,3,3,92.0,3,150.131248,112589.6,865.64635,Tier 4
Kanakapura,13278,Super built-up  Area,Ready To Move,2200.0,4,3,125.0,4,204.3866,152975.0,1097.739937,Tier 4
Kanakpura Road,13238,Super built-up  Area,Ready To Move,3500.0,6,3,250.0,4,325.1605,305950.0,1200.20655,Tier 4
Kannamangala,12115,Super built-up  Area,Ready To Move,3000.0,4,3,200.0,4,278.709,244760.0,981.7856377,Tier 4
Kasavanhalli,13044,Super built-up  Area,Ready To Move,4408.0,4,3,344.0,4,409.516424,420987.2,1449.016716,Tier 4
Kathriguppe,13200,Super built-up  Area,Ready To Move,1650.0,3,3,125.0,3,153.28995,152975.0,1222.771642,Tier 3
Kaval Byrasandra,12165,Super built-up  Area,Ready To Move,2700.0,3,3,200.0,3,250.8381,244760.0,1098.91399,Tier 4
Kengeri,12360,Super built-up  Area,Ready To Move,3500.0,5,3,275.0,5,325.1605,336545.0,1388.64102,Tier 4
Kengeri Satellite Town,11927,Super built-up  Area,Ready To Move,4100.0,3,3,300.0,4,380.9023,367140.0,963.8692127,Tier 4
Kodichikkanahalli,12978,Super built-up  Area,Ready To Move,3250.0,7,3,180.0,5,301.93475,220284.0,848.2049071,Tier 4
Kogilu,13192,Super built-up  Area,Ready To Move,3280.0,9,3,450.0,10,304.72184,550710.0,1832.992132,Tier 4
Koramangala,13130,Super built-up  Area,Ready To Move,6000.0,6,3,800.0,6,557.418,979040.0,3293.21981,Tier 2
Kothannur,13087,Super built-up  Area,Ready To Move,2000.0,4,3,95.0,4,185.806,116261.0,625.7117639,Tier 4
Kothanur,13307,Super built-up  Area,Ready To Move,9600.0,5,3,550.0,5,891.8688,673090.0,2058.262381,Tier 4
Kudlu,13275,Super built-up  Area,Ready To Move,2100.0,3,3,125.0,4,195.0963,152975.0,968.5940617,Tier 4
Kudlu Gate,13187,Super built-up  Area,Ready To Move,3850.0,6,3,285.0,4,357.67655,348783.0,2681.621845,Tier 4
Kumaraswami Layout,13129,Super built-up  Area,Ready To Move,3200.0,7,3,400.0,7,297.2896,489520.0,1756.383899,Tier 4
Kundalahalli,13264,Super built-up  Area,Ready To Move,7000.0,5,3,650.0,4,650.321,795470.0,3567.654794,Tier 4
Lakshminarayana Pura,12586,Super built-up  Area,Ready To Move,1750.0,3,3,150.0,3,162.58025,183570.0,1259.35748,Tier 2
Lingadheeranahalli,12880,Super built-up  Area,Ready To Move,2245.0,4,3,160.0,4,208.567235,195808.0,1095.783181,Tier 3
Magadi Road,12805,Super built-up  Area,Ready To Move,5000.0,6,2,360.0,6,464.515,440568.0,1075.785138,Tier 4
Mahadevpura,13296,Super built-up  Area,Ready To Move,3555.0,4,3,260.0,5,330.270165,318188.0,1058.312604,Tier 4
Malleshpalya,13263,Super built-up  Area,Ready To Move,2592.0,4,3,250.0,4,240.804576,305950.0,1635.632506,Tier 4
Malleshwaram,13162,Super built-up  Area,Ready To Move,12000.0,7,3,2200.0,7,1114.836,2692360.0,3951.863772,Tier 2
Marathahalli,13274,Super built-up  Area,Ready To Move,4000.0,5,3,650.0,5,371.612,795470.0,2140.592876,Tier 4
Margondanahalli,13146,Super built-up  Area,Ready To Move,2400.0,3,2,82.0,4,222.9672,100351.6,951.3746118,Tier 4
Munnekollal,12979,Super built-up  Area,Ready To Move,7200.0,10,3,200.0,10,668.9016,244760.0,1024.078173,Tier 4
Mysore Road,12868,Super built-up  Area,Ready To Move,1710.0,4,3,120.0,3,158.86413,146856.0,1213.341486,Tier 4
Nagarbhavi,13198,Super built-up  Area,Ready To Move,2500.0,4,3,265.0,5,232.2575,324307.0,2909.010832,Tier 4
Nagavara,11992,Super built-up  Area,Ready To Move,2496.0,4,3,275.0,4,231.885888,336545.0,1811.270895,Tier 4
Old Airport Road,11995,Super built-up  Area,Ready To Move,3200.0,5,3,700.0,4,297.2896,856660.0,2881.567334,Tier 3
Old Madras Road,13273,Super built-up  Area,Ready To Move,4500.0,7,3,337.0,5,418.0635,412420.6,1203.34775,Tier 4
Padmanabhanagar,13316,Super built-up  Area,Ready To Move,4689.0,6,3,488.0,5,435.622167,597214.4,1756.383899,Tier 4
Pai Layout,13219,Super built-up  Area,Ready To Move,1600.0,2,3,170.0,3,148.6448,208046.0,1947.295192,Tier 4
Panathur,12514,Super built-up  Area,Ready To Move,1861.0,3,3,125.0,3,172.892483,152975.0,1038.215577,Tier 4
Poorna Pragna Layout,12567,Super built-up  Area,Ready To Move,1475.0,2,3,240.0,3,137.031925,293712.0,2258.20787,Tier 4
R.T. Nagar,13081,Super built-up  Area,Ready To Move,3600.0,8,3,450.0,9,334.4508,550710.0,2799.236838,Tier 4
Rachenahalli,13311,Super built-up  Area,Ready To Move,3670.0,4,3,300.0,4,340.95401,367140.0,1141.649534,Tier 4
Raja Rajeshwari Nagar,13309,Super built-up  Area,Ready To Move,6000.0,9,3,340.0,9,557.418,416092.0,3317.614031,Tier 4
Rajaji Nagar,13109,Super built-up  Area,Ready To Move,12000.0,8,3,2200.0,7,1114.836,2692360.0,4485.388988,Tier 2
Ramagondanahalli,13174,Super built-up  Area,Ready To Move,9600.0,6,3,1800.0,5,891.8688,2202840.0,2469.914857,Tier 4
Ramamurthy Nagar,12663,Super built-up  Area,Ready To Move,3700.0,5,3,240.0,5,343.7411,293712.0,1927.738425,Tier 4
Rayasandra,12496,Super built-up  Area,Ready To Move,3600.0,5,3,145.0,5,334.4508,177451.0,751.9950747,Tier 4
Sahakara Nagar,13237,Super built-up  Area,Ready To Move,2830.0,3,3,250.0,4,262.91549,305950.0,2439.422081,Tier 4
Sanjay nagar,13171,Super built-up  Area,Ready To Move,2700.0,4,3,350.0,4,250.8381,428330.0,1707.595457,Tier 4
Sarjapur,12905,Super built-up  Area,Ready To Move,4360.0,6,3,435.0,5,405.05708,532353.0,1716.466083,Tier 4
Sarjapur  Road,13300,Super built-up  Area,Ready To Move,10000.0,6,3,975.0,5,929.03,1193205.0,2090.933213,Tier 4
Sarjapura - Attibele Road,12950,Super built-up  Area,Ready To Move,3750.0,6,3,295.0,5,348.38625,361021.0,1036.2665,Tier 4
Seegehalli,12480,Super built-up  Area,Ready To Move,4700.0,5,3,800.0,4,436.6441,979040.0,2242.192211,Tier 4
Singasandra,12601,Super built-up  Area,Ready To Move,3850.0,6,3,195.0,4,357.67655,238641.0,987.965943,Tier 4
Somasundara Palya,13181,Super built-up  Area,Ready To Move,2400.0,3,3,140.0,4,222.9672,171332.0,844.1305415,Tier 4
Sonnenahalli,12884,Super built-up  Area,Ready To Move,1610.0,3,3,80.48,3,149.57383,98491.424,870.9341646,Tier 4
Subramanyapura,12613,Super built-up  Area,Ready To Move,2495.0,3,3,130.0,3,231.792985,159094.0,1129.103935,Tier 4
TC Palaya,13195,Super built-up  Area,Ready To Move,4800.0,6,3,370.0,6,445.9344,452806.0,2030.818883,Tier 4
Talaghattapura,13234,Super built-up  Area,Ready To Move,3554.0,4,3,340.0,3,330.177262,416092.0,1260.207918,Tier 4
Thanisandra,13286,Super built-up  Area,Ready To Move,3671.0,9,3,380.0,8,341.046913,465044.0,1787.747897,Tier 4
Thigalarapalya,13259,Super built-up  Area,Ready To Move,4190.0,6,3,380.0,4,389.26357,465044.0,1194.676399,Tier 3
Thubarahalli,12948,Super built-up  Area,Ready To Move,3800.0,4,3,239.0,4,353.0314,292488.2,972.1682096,Tier 4
Tumkur Road,13061,Super built-up  Area,Ready To Move,4800.0,5,3,150.0,5,445.9344,183570.0,993.1574478,Tier 4
Ulsoor,12630,Super built-up  Area,Ready To Move,36000.0,5,3,1584.0,4,3344.508,1938499.2,2898.033433,Tier 4
Uttarahalli,13313,Super built-up  Area,Ready To Move,4500.0,6,3,303.0,6,418.0635,370811.4,1108.717336,Tier 4
Varthur,13281,Super built-up  Area,Ready To Move,4500.0,5,3,300.0,4,418.0635,367140.0,1324.858544,Tier 4
Vidyaranyapura,13007,Super built-up  Area,Ready To Move,4700.0,10,3,375.0,9,436.6441,458925.0,1568.199909,Tier 4
Vijayanagar,11523,Super built-up  Area,Ready To Move,2400.0,6,3,360.0,5,222.9672,440568.0,3161.491018,Tier 3
Vittasandra,13212,Super built-up  Area,Ready To Move,2105.0,3,2,90.0,3,195.560815,110142.0,729.4772613,Tier 4
Whitefield,13277,Super built-up  Area,Ready To Move,11890.0,6,3,1250.0,6,1104.61667,1529750.0,6322.277603,Tier 4
Yelachenahalli,11962,Super built-up  Area,Ready To Move,2400.0,3,3,220.0,4,222.9672,269236.0,1756.383899,Tier 4
Yelahanka,13107,Super built-up  Area,Ready To Move,35000.0,6,3,800.0,6,3251.605,979040.0,2618.212023,Tier 4
Yelahanka New Town,13224,Super built-up  Area,Ready To Move,4000.0,3,3,899.0,4,371.612,1100196.2,2960.604609,Tier 4
Yeshwanthpur,13189,Super built-up  Area,Ready To Move,3027.0,5,3,300.0,6,281.217381,367140.0,2324.625748,Tier 4
other,13308,Super built-up  Area,Ready To Move,52272.0,13,3,2912.0,13,4856.225616,3563705.6,23246.25748,Tier 4
