location,Unnamed: 0,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm
Attibele,5084.275,963.075,1.75,1.1,43.383500000000005,1.9,89.472556725,53092.727300000006,485.87676398499997
BTM 2nd Stage,7233.666666666667,1488.0,2.4814814814814814,1.7407407407407407,151.2962962962963,2.5555555555555554,138.23966399999998,185156.40740740742,1207.1530709185186
Babusapalaya,6986.458333333333,1258.0,2.0833333333333335,1.5833333333333333,51.35458333333333,2.4166666666666665,116.87197400000001,62847.73908333333,537.6922471333334
Balagere,8035.813953488372,1012.6404651162791,1.7906976744186047,1.0465116279069768,61.76395348837209,1.7906976744186047,94.07733713046511,75586.72627906977,809.8853709906977
Banashankari,8024.235294117647,1503.0,2.3970588235294117,1.8676470588235294,104.00323529411764,2.5588235294117645,139.633209,127279.15935294116,832.0568155308823
Banashankari Stage III,5734.909090909091,1814.5,2.5454545454545454,1.2727272727272727,100.93545454545455,3.0,168.5724935,123524.80927272727,862.5505868636363
Bannerghatta Road,7434.118518518519,1557.4,2.4074074074074074,1.548148148148148,86.86207407407407,2.6,144.68713219999998,106301.80625185186,720.6475720474074
Basavangudi,6588.2962962962965,1659.0051851851852,2.5555555555555554,1.962962962962963,161.38888888888889,2.7037037037037037,154.12655871851854,197507.72222222222,1280.3157285962964
Basaveshwara Nagar,3301.75,1782.8125,3.0625,1.4375,190.0625,3.25,165.6286296875,232598.4875,1311.05540544375
Battarahalli,8433.333333333334,1578.1904761904761,2.4285714285714284,1.619047619047619,71.93571428571428,2.5238095238095237,146.6186298095238,88034.92714285714,620.1347783904762
Begur,5479.875,1573.1875,2.625,1.875,68.63125,2.875,146.1538383125,83990.92375,584.7461359812501
Begur Road,7937.205128205128,1355.9358974358975,2.217948717948718,2.0128205128205128,54.52628205128205,2.4615384615384617,125.97051267948719,66729.26397435897,521.6147891666667
Bellandur,8115.733333333334,1474.9555555555555,2.4555555555555557,1.9,86.884,2.477777777777778,137.02779597777777,106328.6392,737.2454682255556
Bhoganhalli,7461.833333333333,1605.7083333333333,2.9375,1.5416666666666667,99.81645833333333,2.9375,149.17512129166667,122155.38170833333,826.8468683770834
Billekahalli,6700.8125,1374.3125,2.4375,2.0625,87.13187500000001,2.4375,127.6777541875,106631.988625,821.2658281624999
Binny Pete,7712.3,1563.25,2.95,1.45,147.5055,2.55,145.23061475,180517.2309,1248.038006415
Bisuvanahalli,7115.52,1032.3,2.0,1.06,41.7596,2.76,95.9037669,51105.39848,531.812805706
Bommanahalli,6908.896551724138,1264.1724137931035,2.4827586206896552,1.6896551724137931,55.13448275862069,2.5172413793103448,117.44540975862068,67473.58,569.5189960275861
Bommasandra,7282.441176470588,1089.1176470588234,2.235294117647059,1.2941176470588236,43.440294117647056,2.323529411764706,101.18229676470588,53162.23194117647,521.4418083323529
Bommasandra Industrial Area,3378.8076923076924,1400.8076923076924,2.1923076923076925,1.1538461538461537,40.949615384615385,2.3846153846153846,130.13923703846154,50114.139307692305,410.6655543615385
Brookefield,6204.325581395349,1602.860465116279,2.744186046511628,2.13953488372093,114.97674418604652,2.8372093023255816,148.91054579069768,140708.53953488372,909.5635488372094
Budigere,8728.183673469388,1392.938775510204,2.3877551020408165,1.7551020408163265,70.3061224489796,2.326530612244898,129.4081910612245,86040.63265306123,668.5017072020408
CV Raman Nagar,8120.375,1309.075,2.275,1.725,76.644,2.3,121.616994725,93796.9272,744.9981769225
Chandapura,7535.065934065934,1029.3242857142857,1.8021978021978022,1.3956043956043955,32.41483516483517,2.120879120879121,95.62731411538462,39669.275274725274,392.4744683934066
Channasandra,7401.473684210527,1383.3684210526317,2.4473684210526314,1.1578947368421053,62.578421052631576,2.5789473684210527,128.51907642105263,76583.47168421053,564.0554791842105
Chikkalasandra,6397.464285714285,1255.1785714285713,1.9642857142857142,1.6785714285714286,56.075357142857136,2.5,116.60985482142857,68625.02207142857,585.5481643178572
Choodasandra,8014.2,1427.16,2.56,1.84,91.96880000000002,2.6,132.58744548,112551.41743999999,737.7366748600001
Dasarahalli,6444.588235294118,1538.6470588235295,2.235294117647059,1.7058823529411764,83.01235294117647,2.588235294117647,142.94492770588235,101590.51752941177,688.949479317647
Devanahalli,7381.794117647059,1509.5588235294117,2.3823529411764706,1.411764705882353,93.14,2.4411764705882355,140.24254338235295,113984.732,744.6674105882353
Devarachikkanahalli,7129.0625,1223.5,2.125,1.6875,60.0,2.3125,113.6668205,73428.0,643.79626320625
Dodda Nekkundi,7081.75,1506.5714285714287,2.392857142857143,1.8214285714285714,108.53357142857143,2.4285714285714284,139.96500542857143,132823.3847142857,764.3098076428571
Doddathoguru,6688.0,1098.1,2.1,1.5,43.413000000000004,2.1333333333333333,102.0167843,53128.8294,515.4837990733333
Domlur,6992.285714285715,1569.3809523809523,2.5238095238095237,1.5238095238095237,160.38095238095238,2.6666666666666665,145.80019861904762,196274.20952380952,1290.8640615809522
EPIP Zone,6446.272727272727,1996.1363636363637,3.090909090909091,1.7272727272727273,131.9018181818182,2.772727272727273,185.4470565909091,161421.44509090908,867.369674240909
Electronic City,6657.382252559727,1152.0443686006827,2.0341296928327646,1.2593856655290103,54.969829351535836,2.2354948805460753,107.02837797610921,67272.07716040955,606.1511893389079
Electronic City Phase II,5952.573770491803,1195.9590163934427,2.1065573770491803,1.3442622950819672,45.932868852459016,2.3442622950819674,111.1081805,56212.644901639345,501.7596358032787
Electronics City Phase 1,7307.119047619048,1157.8379761904762,2.0595238095238093,1.3452380952380953,54.55726190476191,2.1547619047619047,107.56662150238095,66767.17711904763,617.6838470190477
Frazer Town,5855.9,2328.241666666667,2.933333333333333,1.7333333333333334,241.1,2.966666666666667,216.30063556000002,295058.18,1362.6186615466665
Garudachar Palya,7939.588235294118,1267.0,2.0588235294117645,1.6470588235294117,64.74764705882353,2.4705882352941178,117.708101,79238.17047058824,652.0262348117647
Gottigere,6992.130434782609,1333.8478260869565,2.1956521739130435,1.7391304347826086,59.53978260869565,2.4347826086956523,123.91846458695652,72864.78595652174,575.8436242847827
Green Glen Layout,7752.4324324324325,1755.019189189189,2.945945945945946,2.1621621621621623,113.75135135135136,2.972972972972973,163.04654773513514,139208.90378378378,845.8458169297297
Gubbalala,7216.125,1839.2916666666667,2.875,1.8333333333333333,102.71083333333333,2.9583333333333335,170.87571370833334,125697.51783333333,703.87011655
Gunjur,7908.190476190476,1380.952380952381,2.3333333333333335,2.0476190476190474,58.701904761904764,2.4761904761904763,128.29461904761905,71839.39104761905,556.176497695238
HSR Layout,6887.0625,1464.6041666666667,2.375,1.75,86.64583333333333,2.4583333333333335,136.06612089583334,106037.17083333334,717.0085474583334
Haralur Road,8279.592592592593,1422.2518518518518,2.348148148148148,1.7851851851851852,75.62674074074074,2.3925925925925924,132.1314637925926,92552.00531851852,684.8406882377778
Harlur,7783.864864864865,1588.5335135135135,2.635135135135135,1.527027027027027,104.14729729729729,2.5945945945945947,147.5795290081081,127455.46243243244,848.1984652013514
Hebbal,7406.464285714285,1964.8809523809523,2.994047619047619,1.6726190476190477,157.70250000000001,2.8988095238095237,182.5433351190476,192996.31949999998,966.7262219398809
Hebbal Kempapura,6354.04,2001.28,2.92,2.04,180.76,3.04,185.92491583999998,221214.08800000002,1128.722224312
Hegde Nagar,7674.0,1955.5873333333332,3.4,1.8222222222222222,142.9077777777778,3.066666666666667,181.67993002444445,174890.53844444445,920.6686217
Hennur,8259.38,1327.42,2.24,1.5,66.1078,2.34,123.32130026,80902.72564,648.322845056
Hennur Road,7876.876811594203,1587.5072463768115,2.5144927536231885,1.5217391304347827,102.33166666666666,2.6594202898550723,147.48418571014494,125233.49366666668,806.3231497007247
Hoodi,6851.822784810127,1495.5443037974683,2.5316455696202533,1.6582278481012658,91.12620253164557,2.5822784810126582,138.9405524556962,111520.24665822784,789.4625504164557
Horamavu Agara,7782.368421052632,1204.8857894736843,2.1578947368421053,1.4736842105263157,50.77368421052632,2.3947368421052633,111.93750449999999,62136.83473684211,556.1957998315789
Horamavu Banaswadi,7872.84,1368.16,2.44,1.76,60.82,2.32,127.10616848,74431.516,575.263130636
Hormavu,7719.417910447762,1370.955223880597,2.2388059701492535,1.3880597014925373,69.73119402985074,2.328358208955224,127.36585316417909,85337.03525373134,643.5186610402985
Hosa Road,8413.682539682539,1283.318095238095,2.238095238095238,1.253968253968254,68.43031746031745,2.3492063492063493,119.2241010015873,83745.0225079365,691.1326951619047
Hosakerehalli,6353.233333333334,2165.4666666666667,3.2333333333333334,1.4,186.09066666666666,3.2,201.1783497333333,227737.75786666665,1078.8707578533333
Hosur Road,7602.222222222223,1532.6888888888889,2.422222222222222,1.6444444444444444,91.96644444444443,2.6666666666666665,142.39139584444445,112548.5347111111,765.6425764155556
Hulimavu,6833.636363636364,1326.090909090909,2.227272727272727,1.7727272727272727,83.73409090909091,2.2954545454545454,123.19782372727273,102473.78045454546,873.439122290909
Iblur Village,8870.875,2938.0833333333335,4.0,1.5416666666666667,221.625,3.5,272.9567559166667,271224.675,975.5985303458333
Indira Nagar,5004.74358974359,1825.2051282051282,3.051282051282051,1.7692307692307692,258.7692307692308,3.128205128205128,169.56703202564103,316681.7846153846,1717.8131586333334
JP Nagar,6839.474576271186,1608.7966101694915,2.389830508474576,1.694915254237288,101.56525423728814,2.6440677966101696,149.4620314745763,124295.55813559321,773.9312188033899
Jakkur,8472.538461538461,1741.612153846154,2.7384615384615385,1.6153846153846154,120.97292307692307,2.707692307692308,161.8009939276923,148046.66326153846,850.3874042323077
Jalahalli,8378.111111111111,1402.0,2.311111111111111,1.6444444444444444,91.63066666666667,2.3555555555555556,130.25000599999998,112137.60986666667,847.0610146111112
Jigani,6458.425531914893,1226.3617021276596,2.6382978723404253,2.0638297872340425,70.27021276595744,2.617021276595745,113.93268121276596,85996.68638297872,735.200379125532
KR Puram,5957.12676056338,1418.4828169014083,2.436619718309859,1.352112676056338,69.86338028169014,2.563380281690141,131.78130913859155,85498.80478873239,629.5464923647887
Kadugodi,7102.189189189189,1790.5405405405406,2.864864864864865,1.972972972972973,94.09918918918919,2.972972972972973,166.34658783783783,115158.58772972974,690.5819005000001
Kaggadasapura,6172.868852459016,1340.4098360655737,2.3278688524590163,1.819672131147541,59.572131147540986,2.5081967213114753,124.528095,72904.37409836065,578.0356281918033
Kaggalipura,7424.789473684211,1230.0,2.1578947368421053,0.8421052631578947,70.92105263157895,2.3157894736842106,114.27069,86793.18421052632,725.1817648789473
Kalena Agrahara,7835.030303030303,1308.8484848484848,2.272727272727273,1.9393939393939394,73.48484848484848,2.3333333333333335,121.59595078787879,89930.75757575757,708.2868015030303
Kalyan nagar,4477.111111111111,2048.1111111111113,2.8333333333333335,1.7777777777777777,122.08333333333333,2.7222222222222223,190.27566655555555,149405.58333333334,788.5824744500001
Kambipura,7871.833333333333,949.375,2.0,1.0,44.33375,2.3333333333333335,88.199785625,54255.64325,614.8331560583333
Kammasandra,7904.0,1098.6538461538462,2.076923076923077,1.4615384615384615,37.92961538461538,2.230769230769231,102.06823826923076,46418.2633076923,451.4555914192308
Kanakapura,7330.219512195122,1289.9512195121952,2.1707317073170733,1.8048780487804879,60.74439024390244,2.3902439024390243,119.84033814634147,74338.98478048781,611.8078626024391
Kanakpura Road,7920.367588932806,1323.4576679841896,2.383399209486166,1.7786561264822134,70.33849802371542,2.4703557312252964,122.95318772885375,86080.25388142293,689.6679434988142
Kannamangala,6412.444444444444,1526.2222222222222,2.7222222222222223,1.3333333333333333,90.10944444444445,2.7222222222222223,141.79062311111113,110275.93811111111,764.460906
Kasavanhalli,7056.727272727273,1620.4811688311688,2.6103896103896105,1.896103896103896,99.19675324675325,2.6363636363636362,150.54756202857143,121396.98662337664,780.3341138415584
Kathriguppe,8879.90909090909,1314.2727272727273,2.3636363636363638,1.8636363636363635,77.99227272727272,2.909090909090909,122.09987918181818,95446.94336363637,787.9668704318182
Kaval Byrasandra,5148.85,1271.4,2.1,1.55,61.15,2.2,118.11687420000001,74835.37,641.9566200649999
Kengeri,5713.446153846154,1082.7846153846153,2.0307692307692307,1.3846153846153846,51.54969230769231,2.0923076923076924,100.59393912307692,63086.51344615384,580.7017612461538
Kengeri Satellite Town,6381.033333333334,1136.1466666666668,1.9333333333333333,1.6,51.897,2.1,105.55143377333334,63511.5486,549.64878549
Kodichikkanahalli,6825.807692307692,1389.1923076923076,2.5,1.7692307692307692,64.63461538461539,2.576923076923077,129.06013296153847,79099.8423076923,604.5273030653846
Kogilu,6613.347826086957,1394.4782608695652,2.6956521739130435,1.5217391304347827,92.11652173913043,2.6956521739130435,129.5512138695652,112732.19930434781,761.3578171869566
Koramangala,6623.971014492754,1761.144927536232,2.782608695652174,1.565217391304348,196.73985507246377,2.782608695652174,163.61564720289854,240770.23463768116,1386.4410121086958
Kothannur,7079.409090909091,1273.9545454545455,2.3181818181818183,1.6818181818181819,48.68863636363637,2.6363636363636362,118.35419913636365,59585.15318181819,502.824236
Kothanur,8112.642857142857,1617.1607142857142,2.607142857142857,1.9285714285714286,90.29642857142858,2.607142857142857,150.23908183928572,110504.76928571428,712.9715642035715
Kudlu,7875.275862068966,1189.5862068965516,2.0689655172413794,1.7241379310344827,57.77379310344828,2.2758620689655173,110.51612737931035,70703.568,630.2031098689655
Kudlu Gate,7669.594594594595,1456.081081081081,2.4594594594594597,1.6486486486486487,81.60972972972972,2.5135135135135136,135.27430067567568,99873.98724324325,740.8172198567568
Kumaraswami Layout,4103.210526315789,1815.842105263158,3.210526315789474,1.368421052631579,128.8684210526316,3.6315789473684212,168.69717910526316,157709.17368421052,896.5793804052631
Kundalahalli,6959.934782608696,1631.9130434782608,2.6739130434782608,1.7608695652173914,130.4328260869565,2.652173913043478,151.60961747826087,159623.69256521738,997.8869105891305
Lakshminarayana Pura,6050.742857142857,1342.942857142857,2.2857142857142856,1.6857142857142857,97.34285714285714,2.3142857142857145,124.76342025714285,119128.18857142857,933.8237179514285
Lingadheeranahalli,8443.608695652174,1737.7826086956522,3.130434782608696,1.391304347826087,115.34826086956522,3.130434782608696,161.44521769565216,141163.2016521739,871.1917053217392
Magadi Road,5969.631578947368,1436.578947368421,2.3684210526315788,1.1578947368421053,78.7878947368421,2.736842105263158,133.46249394736842,96420.62557894737,709.928876031579
Mahadevpura,8142.533333333334,1444.4333333333334,2.2666666666666666,1.7,75.47966666666666,2.433333333333333,134.19218996666666,92372.01606666666,663.1806427633333
Malleshpalya,6279.117647058823,1373.8235294117646,2.3529411764705883,1.7647058823529411,80.05058823529413,2.4705882352941178,127.63232735294118,97965.90988235295,749.1415462882352
Malleshwaram,6913.702127659574,2469.7021276595747,3.297872340425532,1.9361702127659575,397.96382978723403,3.0638297872340425,229.44273676595745,487028.134893617,1783.8217035978723
Marathahalli,7220.6,1587.33125,2.5625,1.84375,96.88374999999999,2.6125,147.46783511875,118566.33325,773.45485816875
Margondanahalli,3420.590909090909,1211.7727272727273,2.0,0.45454545454545453,62.057272727272725,2.227272727272727,112.57732168181819,75945.69036363637,694.8704997909091
Munnekollal,5154.055555555556,1619.9444444444443,2.7222222222222223,2.1666666666666665,69.71833333333333,2.888888888888889,150.49769872222222,85321.29633333333,621.63097985
Mysore Road,7532.0,1169.443488372093,2.2325581395348837,1.441860465116279,65.0067441860465,2.372093023255814,108.64480840116279,79555.25353488371,721.3886198767442
Nagarbhavi,5388.186046511628,1373.0232558139535,2.372093023255814,1.627906976744186,106.95813953488371,2.5813953488372094,127.55797953488373,130895.3711627907,1073.7042058674417
Nagavara,6765.25,1698.290625,2.4375,1.6875,113.638125,2.5625,157.7762939375,139070.337375,799.6328038125
Old Airport Road,7679.384615384615,2123.1153846153848,3.1923076923076925,2.423076923076923,171.48653846153846,3.1923076923076925,197.24378857692307,209865.22576923078,1004.6289072
Old Madras Road,8692.16923076923,1829.6615384615384,2.9846153846153847,1.5538461538461539,106.5273846153846,2.7384615384615385,169.9810459076923,130368.21329230769,737.7483130738461
Padmanabhanagar,6856.615384615385,1865.2692307692307,2.6923076923076925,1.3076923076923077,145.1030769230769,2.8846153846153846,173.28910734615386,177577.14553846154,920.6198770038462
Pai Layout,7197.777777777777,1190.5,2.0,1.9444444444444444,61.27777777777778,2.2777777777777777,110.6010215,74991.74444444444,686.9724797277778
Panathur,7929.46,1248.88,2.12,1.36,74.1102,2.22,116.02469864000001,90696.06276,779.978526904
Poorna Pragna Layout,7334.421052631579,1250.0,2.0,2.0,61.35473684210526,2.6842105263157894,116.12875,75085.92694736843,639.3236942263159
R.T. Nagar,5565.821428571428,1493.5714285714287,2.7857142857142856,1.5,124.5,2.9285714285714284,138.75726642857143,152363.1,1072.2839801178573
Rachenahalli,8263.055555555555,1324.851851851852,2.1481481481481484,1.8333333333333333,70.04870370370371,2.2962962962962963,123.08271159259259,85725.6035925926,680.6980968481482
Raja Rajeshwari Nagar,7796.078787878788,1350.6060606060605,2.303030303030303,1.715151515151515,59.34,2.4424242424242424,125.47535484848486,72620.292,575.5999809630304
Rajaji Nagar,7824.659340659341,2220.285714285714,3.10989010989011,1.7142857142857142,322.34241758241757,3.065934065934066,206.27120371428572,394482.6506373626,1781.3778295999998
Ramagondanahalli,7929.708333333333,1698.0208333333333,2.4791666666666665,1.6458333333333333,119.07895833333333,2.5833333333333335,157.75122947916665,145728.82920833334,730.8880246020834
Ramamurthy Nagar,4583.456140350877,1410.017543859649,2.473684210526316,1.3157894736842106,80.0763157894737,2.56140350877193,130.994859877193,97997.3952631579,737.6763187385965
Rayasandra,6917.0,1369.65,2.4,1.65,61.351,2.65,127.24459395,75081.3538,590.95318663
Sahakara Nagar,5985.060606060606,1329.969696969697,2.242424242424242,1.7878787878787878,90.61060606060606,2.4242424242424243,123.55817475757576,110889.25969696969,883.8903381030303
Sanjay nagar,5927.375,1442.5,2.3125,1.6875,121.7,2.4375,134.0125775,148936.46,1006.83273724375
Sarjapur,6309.652777777777,1651.7777777777778,2.513888888888889,1.5416666666666667,93.2186111111111,2.6666666666666665,153.4551108888889,114080.93627777779,625.6376371486111
Sarjapur  Road,7940.767955801105,1669.3957182320441,2.6243093922651934,1.6408839779005524,113.75182320441989,2.6767955801104972,155.0918704110497,139209.48123756904,805.7052215477901
Sarjapura - Attibele Road,6610.4375,1632.4375,2.6875,1.875,76.78625,2.75,151.6583410625,93971.01275,514.9784272875
Seegehalli,6134.958333333333,1925.0,2.9583333333333335,1.7916666666666667,137.43916666666667,2.7916666666666665,178.83827499999998,168198.05216666666,778.64479975
Singasandra,7619.428571428572,1360.7952380952381,2.2857142857142856,1.6666666666666667,63.0,2.3333333333333335,126.42196000476191,77099.4,620.0434524619047
Somasundara Palya,6954.208333333333,1434.375,2.375,2.375,69.50416666666666,2.5,133.257740625,85059.19916666667,651.5436952916667
Sonnenahalli,7390.952380952381,1202.095238095238,2.0952380952380953,1.1428571428571428,55.43714285714286,2.3333333333333335,111.6782539047619,67843.97542857143,619.2283900095239
Subramanyapura,7973.7,1195.8,2.125,1.55,62.938,2.45,111.0934074,77023.5244,694.8194916025
TC Palaya,3891.5471698113206,1346.2264150943397,2.2452830188679247,0.5471698113207547,76.82943396226415,2.660377358490566,125.06847264150943,94023.86128301886,738.0771696867924
Talaghattapura,8215.052631578947,1720.578947368421,2.6578947368421053,1.605263157894737,105.41552631578948,2.710526315789474,159.84694594736843,129007.52110526316,737.4814535789474
Thanisandra,8006.171171171171,1466.689054054054,2.5135135135135136,1.572072072072072,82.85238738738738,2.5315315315315314,136.25981318873875,101394.7516846847,728.1952385256757
Thigalarapalya,8406.183333333332,2017.8666666666666,3.55,2.0,149.20883333333333,2.816666666666667,187.46586693333333,182601.7702333333,965.2892578216666
Thubarahalli,6604.65,1480.7,2.35,1.85,88.0035,2.45,137.5614721,107698.6833,774.91170791
Tumkur Road,8102.892857142857,1390.142857142857,2.392857142857143,1.3571428571428572,80.26,2.642857142857143,129.14844185714284,98222.188,788.3709832857143
Ulsoor,5208.588235294118,4079.4117647058824,2.9411764705882355,1.4705882352941178,260.70588235294116,2.8823529411764706,378.9895911764706,319051.8588235294,1292.9256354941176
Uttarahalli,7657.220338983051,1305.6392090395482,2.1299435028248586,1.6101694915254237,55.04395480225989,2.5762711864406778,121.29779943728813,67362.79188700566,551.3569173689266
Varthur,8106.818181818182,1340.621212121212,2.257575757575758,1.7272727272727273,68.63045454545454,2.393939393939394,124.54773246969695,83989.95027272728,641.7979524106061
Vidyaranyapura,6491.923076923077,1502.6923076923076,2.8076923076923075,1.5384615384615385,81.63461538461539,2.8846153846153846,139.60462346153847,99904.44230769231,680.4650223461539
Vijayanagar,6149.916666666667,1385.611111111111,2.5277777777777777,1.1666666666666667,106.04249999999999,2.5555555555555554,128.72742905555555,129774.8115,991.142290513889
Vittasandra,8617.309523809523,1386.2380952380952,2.1666666666666665,1.119047619047619,71.18809523809524,2.1666666666666665,128.78567776190476,87119.99095238096,681.7132930761904
Whitefield,6936.842424242424,1765.888888888889,2.6545454545454548,1.6808080808080808,123.59307070707071,2.6383838383838385,164.05637544444446,151253.19993131314,811.351765800808
Yelachenahalli,6291.823529411765,1321.2941176470588,2.0588235294117645,2.0,87.1470588235294,2.411764705882353,122.75218741176471,106650.57058823529,838.2412680352942
Yelahanka,7258.041237113402,1778.2268041237114,2.417525773195876,1.6134020618556701,83.24835051546393,2.5,165.20260478350514,101879.33136082473,685.4890209025258
Yelahanka New Town,6393.621621621622,1232.162162162162,1.864864864864865,1.3783783783783783,89.36486486486487,2.108108108108108,114.47156135135134,109364.72162162163,745.4131540405406
Yeshwanthpur,8012.357142857143,1436.6142857142856,2.3285714285714287,1.8285714285714285,96.98085714285715,2.3857142857142857,133.46577698571429,118685.17297142858,876.1781955242858
other,6155.167330677291,1660.0892062519154,2.5816733067729083,1.6098682194299725,130.3697303095311,2.683420165491879,154.22726752846768,159546.47595280418,924.8787399553969
