,area_type,availability,location,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
21,Built-up  Area,Ready To Move,Nagappa Reddy Layout,1495,2.0,2.0,75.0,3,138.889985,91785.0,660.846784597176,Tier 3
22,Built-up  Area,Ready To Move,Nagappa Reddy Layout,1495,2.0,2.0,70.0,3,138.889985,85666.0,616.7903322906976,Tier 3
23,Super built-up  Area,Ready To Move,Nagappa Reddy Layout,1495,2.0,2.0,65.0,3,138.889985,79547.0,572.7338799842191,Tier 3
24,Super built-up  Area,Ready To Move,Nagappa Reddy Layout,1500,2.0,3.0,78.0,3,139.3545,95456.4,684.9897204611261,Tier 3
25,Super built-up  Area,Ready To Move,VGP Layout,1133,2.0,2.0,55.0,2,105.259099,67309.0,639.460157263934,Tier 3
26,Super built-up  Area,Ready To Move,VGP Layout,2108,3.0,3.0,85.0,3,195.839524,104023.0,531.1644854692355,Tier 4
27,Super built-up  Area,Ready To Move,Kaval Byrasandra,1200,2.0,2.0,52.0,2,111.4836,63637.6,570.8247670509385,Tier 3
28,Super built-up  Area,Ready To Move,Padmanabhanagar,1258,2.0,2.0,115.0,2,116.871974,140737.0,1204.1980227013194,Tier 1
29,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1395,2.0,2.0,72.0,3,129.599685,88113.59999999999,679.8905414006214,Tier 3
30,Super built-up  Area,Ready To Move,Kudlu Gate,1238,2.0,3.0,55.0,2,115.013914,67309.0,585.2248450565729,Tier 3
31,Super built-up  Area,Ready To Move,Kudlu Gate,1320,2.0,2.0,50.0,3,122.63195999999999,61190.0,498.97269847110005,Tier 4
32,Super built-up  Area,Ready To Move,Channasandra Layout,1535,3.0,1.0,55.0,3,142.60610499999999,67309.0,471.9924157524673,Tier 4
33,Super built-up  Area,Ready To Move,Channasandra Layout,1265,2.0,1.0,82.0,3,117.522295,100351.59999999999,853.8941483401085,Tier 2
34,Super built-up  Area,Ready To Move,Channasandra Layout,1115,2.0,1.0,50.0,2,103.586845,61190.0,590.7120735263247,Tier 3
35,Super built-up  Area,Ready To Move,Channasandra Layout,1563,2.0,2.0,52.0,3,145.207389,63637.6,438.25318007749587,Tier 4
36,Built-up  Area,Ready To Move,Anjanapura,1280,2.0,2.0,45.0,3,118.91584,55071.0,463.1090357684897,Tier 4
37,Built-up  Area,Ready To Move,Anjanapura,950,2.0,0.0,32.0,2,88.25785,39161.6,443.7180375456687,Tier 4
38,Built-up  Area,Ready To Move,Anjanapura,950,2.0,0.0,30.0,2,88.25785,36714.0,415.9856601990644,Tier 4
39,Super built-up  Area,Ready To Move,Anjanapura,950,2.0,1.0,40.0,2,88.25785,48952.0,554.6475469320859,Tier 3
40,Built-up  Area,Ready To Move,JP Nagar,2000,3.0,2.0,250.0,3,185.806,305950.0,1646.6099049546299,Tier 1
41,Super built-up  Area,Ready To Move,HSR Layout,1300,2.0,2.0,98.0,2,120.7739,119932.4,993.032434988023,Tier 1
42,Built-up  Area,Ready To Move,Kashi Nagar,1190,2.0,2.0,42.0,2,110.55457,51399.6,464.9251496342485,Tier 4
43,Built-up  Area,Ready To Move,JP Nagar,820,2.0,1.0,45.0,2,76.18046,55071.0,722.9019094922767,Tier 2
44,Super built-up  Area,Ready To Move,JP Nagar,1500,2.0,3.0,82.0,3,139.3545,100351.59999999999,720.1173984334915,Tier 2
45,Super built-up  Area,Ready To Move,JP Nagar,1500,2.0,3.0,82.0,3,139.3545,100351.59999999999,720.1173984334915,Tier 2
46,Built-up  Area,Ready To Move,Sarjapur  Road,1850,3.0,3.0,140.0,3,171.87055,171332.0,996.8665370536138,Tier 1
47,Built-up  Area,Ready To Move,Sarjapur  Road,1857,4.0,3.0,155.0,3,172.520871,189689.0,1099.5133452578036,Tier 1
48,Built-up  Area,Ready To Move,Sarjapur  Road,6200,4.0,2.0,744.0,4,575.9986,910507.2,1580.7455087564447,Tier 1
49,Plot  Area,Ready To Move,Sarjapur  Road,5400,4.0,3.0,725.0,4,501.6762,887255.0,1768.5810090253435,Tier 1
50,Plot  Area,Ready To Move,Sarjapur  Road,4000,5.0,2.0,600.0,4,371.612,734280.0,1975.931885945556,Tier 1
51,Plot  Area,Ready To Move,Sarjapur  Road,5400,3.0,2.0,700.0,3,501.6762,856660.0,1707.5954569899868,Tier 1
52,Plot  Area,Ready To Move,Sarjapur  Road,5400,4.0,2.0,750.0,4,501.6762,917850.0,1829.5665610607002,Tier 1
53,Plot  Area,Ready To Move,Sarjapur  Road,4000,5.0,1.0,578.0,4,371.612,707356.4,1903.4810501275524,Tier 1
54,Plot  Area,Ready To Move,Sarjapur  Road,3150,4.0,2.0,500.0,4,292.64445,611900.0,2090.9332126408,Tier 1
55,Super built-up  Area,Ready To Move,Sarjapur  Road,1278,2.0,2.0,95.0,2,118.730034,116261.0,979.2046383141775,Tier 1
56,Super built-up  Area,Ready To Move,Sarjapur  Road,3335,5.0,2.0,300.0,4,309.831505,367140.0,1184.9666482432121,Tier 1
57,Super built-up  Area,Ready To Move,Sarjapur  Road,1846,3.0,2.0,140.0,3,171.498938,171332.0,999.0265945553551,Tier 1
58,Super built-up  Area,Ready To Move,Sarjapur  Road,1215,2.0,2.0,110.0,2,112.877145,134618.0,1192.6063509136416,Tier 1
59,Super built-up  Area,Ready To Move,Sarjapur  Road,2180,3.0,2.0,170.0,3,202.52854,208046.0,1027.2428764854574,Tier 1
60,Super built-up  Area,Ready To Move,Sarjapur  Road,2275,4.0,2.0,180.0,3,211.354325,220284.0,1042.2497859932605,Tier 1
61,Super built-up  Area,Ready To Move,Sarjapur  Road,1846,3.0,3.0,145.0,3,171.498938,177451.0,1034.706115789475,Tier 1
62,Super built-up  Area,Ready To Move,Sarjapur  Road,2145,3.0,3.0,190.0,3,199.276935,232522.0,1166.828464117034,Tier 1
63,Super built-up  Area,Ready To Move,Sarjapur  Road,1278,2.0,2.0,90.0,2,118.730034,110142.0,927.6675520871155,Tier 1
64,Super built-up  Area,Ready To Move,Sarjapur  Road,2180,3.0,2.0,240.0,3,202.52854,293712.0,1450.2252373912338,Tier 1
65,Super built-up  Area,Ready To Move,Sarjapur  Road,2145,3.0,3.0,180.0,3,199.276935,220284.0,1105.4164396898216,Tier 1
66,Super built-up  Area,Ready To Move,Sarjapur  Road,1320,2.0,2.0,115.0,2,122.63195999999999,140737.0,1147.6372064835302,Tier 1
67,Super built-up  Area,Ready To Move,Sarjapur  Road,1350,2.0,2.0,102.0,2,125.41905,124827.59999999999,995.2842092170208,Tier 1
69,Super built-up  Area,Ready To Move,Sarjapur  Road,1693,3.0,2.0,125.0,3,157.284779,152975.0,972.5988806583758,Tier 1
70,Super built-up  Area,Ready To Move,Sarjapur  Road,2900,4.0,2.0,240.0,4,269.4187,293712.0,1090.1693163837551,Tier 1
71,Super built-up  Area,Ready To Move,Sarjapur  Road,2275,4.0,2.0,185.0,3,211.354325,226403.0,1071.2011689375177,Tier 1
72,Super built-up  Area,Ready To Move,Sarjapur  Road,3335,4.0,3.0,290.0,4,309.831505,354902.0,1145.4677599684383,Tier 1
73,Super built-up  Area,Ready To Move,Sarjapur  Road,2275,4.0,2.0,175.0,3,211.354325,214165.0,1013.2984030490032,Tier 1
75,Super built-up  Area,Ready To Move,Sarjapur  Road,2275,4.0,2.0,182.0,3,211.354325,222731.6,1053.8303391709633,Tier 1
76,Super built-up  Area,Ready To Move,Sarjapur  Road,1850,3.0,2.0,140.0,3,171.87055,171332.0,996.8665370536138,Tier 1
77,Super built-up  Area,Ready To Move,Sarjapur  Road,1879,3.0,2.0,155.0,3,174.564737,189689.0,1086.639852125461,Tier 1
78,Super built-up  Area,Ready To Move,Sarjapur  Road,1320,2.0,2.0,110.0,2,122.63195999999999,134618.0,1097.7399366364202,Tier 1
79,Super built-up  Area,Ready To Move,Sarjapur  Road,2275,4.0,2.0,187.0,3,211.354325,228850.6,1082.7817221152206,Tier 1
80,Super built-up  Area,Ready To Move,Sarjapur  Road,3335,4.0,3.0,300.0,4,309.831505,367140.0,1184.9666482432121,Tier 1
81,Super built-up  Area,Ready To Move,Sarjapur  Road,1290,2.0,2.0,88.0,2,119.84487,107694.4,898.6150178977206,Tier 1
82,Super built-up  Area,Ready To Move,Sarjapur  Road,2180,4.0,3.0,180.0,3,202.52854,220284.0,1087.6689280434255,Tier 1
83,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660,2.0,2.0,105.0,3,154.21898,128499.0,833.2242892541502,Tier 2
84,Super built-up  Area,Ready To Move,Hennur Road,1153,2.0,1.0,43.0,2,107.117159,52623.4,491.2695640107483,Tier 4
85,Super built-up  Area,Ready To Move,Nallurhalli,1620,3.0,3.0,95.0,3,150.50286,116261.0,772.4836591145179,Tier 2
86,Super built-up  Area,Not Ready,Abbigere,1260,2.0,1.0,45.0,3,117.05778,55071.0,470.4599728441801,Tier 4
87,Built-up  Area,Ready To Move,Neeladri Nagar,527,1.0,0.0,26.0,1,48.959881,31818.8,649.8953704564764,Tier 3
88,Super built-up  Area,Ready To Move,Neeladri Nagar,1167,2.0,1.0,38.0,3,108.417801,46504.4,428.9369418219431,Tier 4
89,Plot  Area,Ready To Move,Ramagondanahalli,9600,6.0,1.0,1800.0,5,891.8688,2202840.0,2469.914857431945,Tier 1
90,Built-up  Area,Ready To Move,Hoodi,1350,2.0,3.0,48.0,3,125.41905,58742.399999999994,468.3690396315392,Tier 4
91,Built-up  Area,Ready To Move,Hoodi,1247,2.0,0.0,53.0,2,115.850041,64861.399999999994,559.8737768249904,Tier 3
92,Super built-up  Area,Ready To Move,Thubarahalli,1128,2.0,2.0,75.0,2,104.794584,91785.0,875.8563324226756,Tier 2
93,Super built-up  Area,Ready To Move,Thubarahalli,1085,2.0,1.0,70.0,2,100.799755,85666.0,849.8631767507768,Tier 2
94,Super built-up  Area,Ready To Move,Hennur,1231,2.0,2.0,48.0,2,114.363593,58742.399999999994,513.6459817242712,Tier 4
95,Super built-up  Area,Ready To Move,Hennur,1231,2.0,2.0,50.0,2,114.363593,61190.0,535.0478976294493,Tier 4
96,Plot  Area,Ready To Move,Sarjapur  Road,10000,4.0,2.0,975.0,5,929.03,1193205.0,1284.3557258646115,Tier 1
97,Plot  Area,Ready To Move,Sarjapur  Road,4250,4.0,2.0,610.0,4,394.83774999999997,746518.0,1890.6956085126108,Tier 1
98,Super built-up  Area,Ready To Move,Whitefield,1405,2.0,1.0,78.0,3,130.528715,95456.4,731.3057513819851,Tier 2
99,Built-up  Area,Ready To Move,Yelahanka,1250,2.0,2.0,54.0,2,116.12875,66085.2,569.0683831523202,Tier 3
100,Built-up  Area,Ready To Move,Sarjapur  Road,2556,3.0,2.0,169.0,3,237.460068,206822.19999999998,870.9767572373473,Tier 2
101,Built-up  Area,Ready To Move,Whitefield,2500,4.0,1.0,420.0,4,232.2575,513996.0,2213.043712259023,Tier 1
102,Plot  Area,Ready To Move,Whitefield,3100,4.0,2.0,465.0,4,287.9993,569067.0,1975.9318859455561,Tier 1
103,Plot  Area,Ready To Move,Whitefield,3100,4.0,2.0,350.0,4,287.9993,428330.0,1487.2605593138594,Tier 1
105,Plot  Area,Ready To Move,Whitefield,10200,4.0,1.0,1250.0,4,947.6106,1529750.0,1614.3234362300295,Tier 1
106,Plot  Area,Ready To Move,Whitefield,1500,3.0,1.0,250.0,3,139.3545,305950.0,2195.47987327284,Tier 1
107,Plot  Area,Ready To Move,Whitefield,4000,5.0,1.0,540.0,6,371.612,660852.0,1778.3386973510003,Tier 1
108,Built-up  Area,Ready To Move,Kaggadasapura,2150,4.0,1.0,100.0,4,199.74145,122380.0,612.6920576575368,Tier 3
109,Built-up  Area,Ready To Move,Dodda Nekkundi,3800,4.0,2.0,600.0,4,353.0314,734280.0,2079.928300995322,Tier 1
110,Plot  Area,Ready To Move,Dodda Nekkundi,3400,4.0,3.0,530.0,4,315.8702,648614.0,2053.4194108845973,Tier 1
111,Built-up  Area,Ready To Move,Sahyadri Layout,1750,3.0,1.0,180.0,3,162.58025,220284.0,1354.9247217912384,Tier 1
112,Super built-up  Area,Ready To Move,Sonnenahalli,1550,3.0,1.0,50.0,3,143.99965,61190.0,424.9315883753884,Tier 4
113,Super built-up  Area,Not Ready,Yelahanka,1823,3.0,2.0,103.0,3,169.362169,126051.4,744.27129000692,Tier 2
114,Super built-up  Area,Not Ready,Yelahanka,1360,2.0,1.0,78.19,2,126.34808,95688.92199999999,757.343696872956,Tier 2
116,Super built-up  Area,Ready To Move,Dodda Nekkundi,1200,2.0,2.0,71.0,2,111.4836,86889.8,779.3953550118583,Tier 2
117,Super built-up  Area,Ready To Move,KR Puram,1245,2.0,1.0,60.0,2,115.664235,73428.0,634.8375537174477,Tier 3
118,Super built-up  Area,Ready To Move,Indira Nagar,1128,2.0,2.0,105.0,2,104.794584,128499.0,1226.1988653917458,Tier 1
119,Super built-up  Area,Ready To Move,Jalahalli,1575,4.0,3.0,100.0,3,146.322225,122380.0,836.37328505632,Tier 2
120,Super built-up  Area,Ready To Move,Marathahalli,1600,3.0,2.0,56.0,3,148.6448,68532.8,461.05077338729643,Tier 4
121,Super built-up  Area,Ready To Move,Marathahalli,1600,3.0,3.0,58.0,3,148.6448,70980.4,477.5168724368427,Tier 4
122,Super built-up  Area,Ready To Move,Kalyan nagar,1800,3.0,2.0,85.0,3,167.2254,104023.0,622.052630760638,Tier 3
123,Plot  Area,Ready To Move,Attibele,2400,2.0,2.0,250.0,4,222.9672,305950.0,1372.1749207955252,Tier 1
124,Built-up  Area,Ready To Move,Whitefield,1806,3.0,3.0,85.0,3,167.782818,104023.0,619.9860107248884,Tier 3
125,Super built-up  Area,Ready To Move,Choodasandra,1254,2.0,1.0,65.0,3,116.500362,79547.0,682.8047452762422,Tier 3
126,Built-up  Area,Ready To Move,Kalyan nagar,3800,5.0,3.0,300.0,4,353.0314,367140.0,1039.964150497661,Tier 1
127,Super built-up  Area,Not Ready,Sarjapur  Road,1145,2.0,1.0,62.0,2,106.373935,75875.59999999999,713.2912776048004,Tier 2
128,Super built-up  Area,Not Ready,Sarjapur  Road,1067,2.0,1.0,60.0,2,99.127501,73428.0,740.7429750498804,Tier 2
129,Super built-up  Area,Not Ready,Sarjapur  Road,475,1.0,1.0,26.0,1,44.128925,31818.8,721.0418110117116,Tier 2
130,Built-up  Area,Ready To Move,Somasundara Palya,1033,2.0,2.0,48.0,2,95.968799,58742.399999999994,612.0989385310531,Tier 3
131,Built-up  Area,Ready To Move,Rajiv Nagar,972,2.0,2.0,43.0,2,90.301716,52623.4,582.7508305600749,Tier 3
132,Super built-up  Area,Ready To Move,Rajiv Nagar,1263,2.0,1.0,93.32,2,117.336489,114205.01599999999,973.3120274290803,Tier 1
133,Super built-up  Area,Ready To Move,Rajiv Nagar,1030,2.0,2.0,46.5,2,95.69009,56906.7,594.6979462554586,Tier 3
134,Super built-up  Area,Ready To Move,Whitefield,1015,2.0,3.0,56.0,2,94.296545,68532.8,726.7795442558368,Tier 2
135,Built-up  Area,Ready To Move,Sarjapur,1285,2.0,2.0,68.0,3,119.380355,83218.4,697.0862165722325,Tier 2
136,Super built-up  Area,Ready To Move,Sarjapur,1128,2.0,1.0,60.0,2,104.794584,73428.0,700.6850659381405,Tier 2
137,Super built-up  Area,Ready To Move,Sarjapur,1200,2.0,2.0,62.0,2,111.4836,75875.59999999999,680.5987607145804,Tier 3
138,Super built-up  Area,Ready To Move,Sarjapur  Road,1863,3.0,2.0,104.0,4,173.078289,127275.2,735.3620187451702,Tier 2
139,Super built-up  Area,Ready To Move,Sarjapur  Road,1050,2.0,1.0,62.0,2,97.54814999999999,75875.59999999999,777.8271551023776,Tier 2
140,Super built-up  Area,Ready To Move,Sarjapur  Road,1525,2.0,2.0,87.0,3,141.677075,106470.59999999999,751.5019631792934,Tier 2
141,Super built-up  Area,Ready To Move,Sarjapur  Road,539,1.0,1.0,45.0,1,50.074717,55071.0,1099.776559895486,Tier 1
142,Super built-up  Area,Ready To Move,Sarjapur  Road,1050,2.0,1.0,63.5,2,97.54814999999999,77711.3,796.645554016145,Tier 2
143,Super built-up  Area,Ready To Move,Sarjapur  Road,1864,3.0,2.0,105.0,4,173.171192,128499.0,742.0345065246188,Tier 2
144,Super built-up  Area,Ready To Move,Sarjapur  Road,2100,3.0,1.0,135.0,3,195.09629999999999,165213.0,846.8279511195241,Tier 2
145,Super built-up  Area,Ready To Move,Sarjapur  Road,1019,2.0,1.0,62.0,2,94.668157,75875.59999999999,801.4901990750701,Tier 2
146,Super built-up  Area,Not Ready,Sarjapur  Road,1881,3.0,2.0,145.0,3,174.750543,177451.0,1015.4532109236422,Tier 1
147,Super built-up  Area,Ready To Move,Sarjapur  Road,1881,3.0,2.0,145.0,3,174.750543,177451.0,1015.4532109236422,Tier 1
148,Super built-up  Area,Ready To Move,Sarjapur  Road,1129,2.0,1.0,69.0,2,104.887487,84442.2,805.0741076483223,Tier 2
149,Super built-up  Area,Ready To Move,Sarjapur  Road,1026,2.0,1.0,60.8,2,95.318478,74407.04,780.6150660525653,Tier 2
150,Built-up  Area,Ready To Move,7th Phase JP Nagar,1000,2.0,2.0,60.0,2,92.903,73428.0,790.3727543782225,Tier 2
151,Super built-up  Area,Ready To Move,Marathahalli,1200,2.0,2.0,60.0,2,111.4836,73428.0,658.643961981852,Tier 3
153,Super built-up  Area,Ready To Move,Marathahalli,1020,2.0,1.0,57.0,2,94.76106,69756.59999999999,736.1314869208934,Tier 2
154,Super built-up  Area,Ready To Move,Malleshwaram,2250,3.0,1.0,200.0,3,209.03175,244760.0,1170.9225990788482,Tier 1
156,Super built-up  Area,Ready To Move,Kaggadasapura,1560,2.0,3.0,72.0,3,144.92867999999999,88113.59999999999,607.9790418294019,Tier 3
157,Super built-up  Area,Ready To Move,Banashankari,1460,2.0,3.0,70.0,2,135.63838,85666.0,631.576401900406,Tier 3
158,Super built-up  Area,Ready To Move,Ankappa Layout,1670,3.0,2.0,75.0,3,155.14801,91785.0,591.5963730375917,Tier 3
159,Super built-up  Area,Ready To Move,Whitefield,1725,3.0,2.0,106.0,3,160.257675,129722.79999999999,809.4638837110297,Tier 2
161,Super built-up  Area,Ready To Move,Karuna Nagar,1057,2.0,1.0,65.0,2,98.198471,79547.0,810.0635294005749,Tier 2
162,Super built-up  Area,Ready To Move,Karuna Nagar,1945,3.0,3.0,115.0,3,180.696335,140737.0,778.8591838345808,Tier 2
164,Super built-up  Area,Ready To Move,Karuna Nagar,1354,2.0,1.0,98.0,3,125.790662,119932.4,953.4284826325185,Tier 1
165,Super built-up  Area,Ready To Move,Akshayanagara West,1205,2.0,2.0,60.0,2,111.948115,73428.0,655.910999484002,Tier 3
166,Plot  Area,Not Ready,Karuna Nagar,1300,3.0,1.0,170.0,3,120.7739,208046.0,1722.6072851833053,Tier 1
167,Super built-up  Area,Ready To Move,Kalena Agrahara,1354,2.0,2.0,70.0,2,125.790662,85666.0,681.0203447375133,Tier 3
170,Super built-up  Area,Ready To Move,Munnekollal,1200,2.0,2.0,49.5,2,111.4836,60578.1,543.3812686350279,Tier 4
171,Built-up  Area,Ready To Move,Kengeri,1470,3.0,3.0,50.0,3,136.56741,61190.0,448.0571169944572,Tier 4
172,Super built-up  Area,Ready To Move,Doddanekundi,1760,3.0,3.0,176.0,3,163.50928,215388.8,1317.287923963704,Tier 1
173,Super built-up  Area,Ready To Move,Doddanekundi,2045,4.0,3.0,154.0,3,189.986635,188465.19999999998,991.9918840606865,Tier 1
174,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,56.0,3,123.56099,68532.8,554.6475469320859,Tier 3
175,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,56.0,3,123.56099,68532.8,554.6475469320859,Tier 3
176,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,47.0,3,123.56099,57518.6,465.5077626037149,Tier 4
177,Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3,124.95453499999999,69756.59999999999,558.2558488173318,Tier 3
178,Super built-up  Area,Ready To Move,Uttarahalli,1123,2.0,1.0,48.0,2,104.330069,58742.399999999994,563.043814338894,Tier 3
179,Super built-up  Area,Ready To Move,Uttarahalli,1329,2.0,1.0,56.0,3,123.468087,68532.8,555.0648889538558,Tier 3
180,Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,47.0,3,124.95453499999999,57518.6,460.31622621779997,Tier 4
181,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,47.0,2,104.515875,57518.6,550.3336215670586,Tier 4
182,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,57.0,3,123.56099,69756.59999999999,564.551967413016,Tier 3
183,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,48.0,2,104.515875,58742.399999999994,562.042847557847,Tier 3
184,Super built-up  Area,Ready To Move,Uttarahalli,1590,3.0,2.0,58.0,3,147.71577,70980.4,480.5201232068857,Tier 4
185,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,47.65,2,104.515875,58314.07,557.9446184610712,Tier 3
186,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,47.0,2,104.515875,57518.6,550.3336215670586,Tier 4
187,Super built-up  Area,Ready To Move,Uttarahalli,1590,3.0,2.0,57.0,3,147.71577,69756.59999999999,472.2352934964222,Tier 4
188,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,47.0,2,104.515875,57518.6,550.3336215670586,Tier 4
189,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,58.0,3,123.56099,70980.4,574.456387893946,Tier 3
190,Super built-up  Area,Ready To Move,Uttarahalli,1590,3.0,2.0,57.0,3,147.71577,69756.59999999999,472.2352934964222,Tier 4
191,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,48.0,2,104.515875,58742.399999999994,562.042847557847,Tier 3
192,Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3,124.95453499999999,69756.59999999999,558.2558488173318,Tier 3
193,Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3,124.95453499999999,69756.59999999999,558.2558488173318,Tier 3
194,Super built-up  Area,Ready To Move,Uttarahalli,1590,3.0,2.0,57.0,3,147.71577,69756.59999999999,472.2352934964222,Tier 4
195,Super built-up  Area,Ready To Move,Uttarahalli,1330,2.0,1.0,57.0,3,123.56099,69756.59999999999,564.551967413016,Tier 3
196,Super built-up  Area,Ready To Move,Uttarahalli,1125,2.0,1.0,47.0,2,104.515875,57518.6,550.3336215670586,Tier 4
197,Super built-up  Area,Ready To Move,Uttarahalli,1328,2.0,1.0,56.0,3,123.375184,68532.8,555.4828595027668,Tier 3
198,Super built-up  Area,Ready To Move,Uttarahalli,1590,3.0,2.0,57.0,3,147.71577,69756.59999999999,472.2352934964222,Tier 4
199,Super built-up  Area,Ready To Move,Uttarahalli,1345,2.0,1.0,57.0,3,124.95453499999999,69756.59999999999,558.2558488173318,Tier 3
200,Super built-up  Area,Ready To Move,Gunjur,1080,2.0,2.0,41.0,2,100.33524,50175.799999999996,500.08152668992466,Tier 4
201,Super built-up  Area,Ready To Move,Gunjur,1175,2.0,2.0,43.48,2,109.161025,53210.82399999999,487.4525866718455,Tier 4
202,Built-up  Area,Ready To Move,Hebbal,1100,2.0,2.0,50.0,2,102.1933,61190.0,598.7672381653201,Tier 3
203,Super built-up  Area,Ready To Move,Uttarahalli,1300,2.0,2.0,55.0,2,120.7739,67309.0,557.3141216769517,Tier 3
204,Plot  Area,Ready To Move,Seegehalli,3000,4.0,2.0,240.0,3,278.709,293712.0,1053.8303391709633,Tier 1
205,Super built-up  Area,Ready To Move,Bellandur,1490,2.0,2.0,98.0,3,138.42547,119932.4,866.4041379090135,Tier 2
206,Super built-up  Area,Ready To Move,Bellandur,1435,2.0,2.0,115.0,3,133.315805,140737.0,1055.6662805284038,Tier 1
207,Super built-up  Area,Ready To Move,EPIP Zone,3800,5.0,2.0,170.0,4,353.0314,208046.0,589.3130186153413,Tier 3
208,Super built-up  Area,Not Ready,Hosa Road,1004 - 1204,2.0,0.0,36.43,2,102.56491199999999,44583.034,434.68115099635634,Tier 4
209,Built-up  Area,Ready To Move,Bommanahalli,1091,2.0,1.0,40.0,2,101.357173,48952.0,482.96532500960734,Tier 4
210,Super built-up  Area,Ready To Move,Bommanahalli,2100,4.0,2.0,85.0,4,195.09629999999999,104023.0,533.187969223404,Tier 4
211,Super built-up  Area,Ready To Move,Bommanahalli,1307,2.0,1.0,50.0,2,121.424221,61190.0,503.93570159284775,Tier 4
212,Built-up  Area,Ready To Move,Dodda Nekkundi Extension,1864,3.0,2.0,120.0,3,173.171192,146856.0,848.0394360281357,Tier 2
213,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148,2.0,2.0,60.0,2,106.652644,73428.0,688.4780090402635,Tier 2
214,Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1188,2.0,3.0,73.0,2,110.368764,89337.4,809.4445997420066,Tier 2
