,area_type,availability,location,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
6837,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,30,1,48.774075,36714,752.7359566,Tier 2
6937,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,30,1,48.774075,36714,752.7359566,Tier 2
8169,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,30,1,48.774075,36714,752.7359566,Tier 2
9093,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,27,1,48.774075,33042.6,677.4623609,Tier 3
9117,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,27.5,1,48.774075,33654.5,690.0079602,Tier 2
9491,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26.25,1,48.774075,32124.75,658.643962,Tier 3
9686,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26,1,48.774075,31818.8,652.3711623,Tier 3
11176,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26.01,1,48.774075,31831.038,652.6220743,Tier 3
12676,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,30,1,48.774075,36714,752.7359566,Tier 2
12803,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26,1,48.774075,31818.8,652.3711623,Tier 3
10036,Super built-up  Area,Ready To Move, Banaswadi,527,1,0,35,1,48.959881,42833,874.8591525,Tier 2
527,Built-up  Area,Ready To Move,Neeladri Nagar,527,1,0,26,1,48.959881,31818.8,649.8953705,Tier 3
182,Built-up  Area,Ready To Move,Alur,530,1,1,20,1,49.23859,24476,497.0897826,Tier 4
5828,Super built-up  Area,Not Ready,Anekal,530,1,1,18,1,49.23859,22028.4,447.3808044,Tier 4
4773,Super built-up  Area,Not Ready,Chandapura,530,1,0,11.66,1,49.23859,14269.508,289.8033433,Tier 4
9789,Super built-up  Area,Not Ready,Electronic City,530,1,1,13.5,1,49.23859,16521.3,335.5356033,Tier 4
13217,Super built-up  Area,Ready To Move,Makali,530,1,1,18,1,49.23859,22028.4,447.3808044,Tier 4
8322,Super built-up  Area,Ready To Move,Whitefield,530,1,1,29.44,1,49.23859,36028.672,731.71616,Tier 2
669,Built-up  Area,Ready To Move,Celebrity Paradise Layout,532,1,1,22.49,1,49.424396,27523.262,556.8760415,Tier 3
10703,Super built-up  Area,Not Ready,Sarjapur  Road,534,1,1,19.65,1,49.610202,24047.67,484.732354,Tier 4
10497,Super built-up  Area,Ready To Move, Mysore Highway,535,1,1,35,1,49.703105,42833,861.7771465,Tier 2
8899,Super built-up  Area,Ready To Move,Sarjapur  Road,539,1,1,45,1,50.074717,55071,1099.77656,Tier 1
4365,Plot  Area,Ready To Move,Annaiah Reddy Layout,540,1,0,22,1,50.16762,26923.6,536.6728579,Tier 4
12830,Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,540,1,2,24,1,50.16762,29371.2,585.4612995,Tier 3
13073,Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,540,1,1,22.5,1,50.16762,27535.5,548.8699683,Tier 4
107,Built-up  Area,Ready To Move,Byatarayanapura,540,1,1,36,1,50.16762,44056.8,878.1919493,Tier 2
8549,Super built-up  Area,Not Ready,Kengeri,540,1,1,22.5,1,50.16762,27535.5,548.8699683,Tier 4
436,Built-up  Area,Ready To Move,Kogilu,540,1,0,36,1,50.16762,44056.8,878.1919493,Tier 2
2745,Plot  Area,Ready To Move,Ramagondanahalli,540,1,0,30,1,50.16762,36714,731.8266244,Tier 2
2291,Built-up  Area,Ready To Move,Ramamurthy Nagar,540,1,0,35,1,50.16762,42833,853.7977285,Tier 2
3346,Plot  Area,Ready To Move,Rayasandra,540,1,1,16.5,1,50.16762,20192.7,402.5046434,Tier 4
1912,Built-up  Area,Ready To Move, Electronic City,550,1,1,27,1,51.09665,33042.6,646.6686172,Tier 3
10858,Super built-up  Area,Ready To Move,Attibele,550,1,1,11.5,1,51.09665,14073.7,275.4329296,Tier 4
8883,Super built-up  Area,Ready To Move,Basava Nagar,550,1,1,16,1,51.09665,19580.8,383.2110324,Tier 4
10821,Super built-up  Area,Ready To Move,Celebrity Paradise Layout,550,1,1,16,1,51.09665,19580.8,383.2110324,Tier 4
6961,Super built-up  Area,Ready To Move,Doddathoguru,550,1,1,17,1,51.09665,20804.6,407.161722,Tier 4
13317,Super built-up  Area,Ready To Move,Doddathoguru,550,1,1,17,1,51.09665,20804.6,407.161722,Tier 4
933,Built-up  Area,Ready To Move,Electronic City,550,1,1,12,1,51.09665,14685.6,287.4082743,Tier 4
8529,Super built-up  Area,Ready To Move,Jalahalli West,550,1,1,23,1,51.09665,28147.4,550.8658591,Tier 4
2180,Built-up  Area,Ready To Move,Kengeri,550,1,1,16.75,1,51.09665,20498.65,401.1740496,Tier 4
7358,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,550,1,0,21,1,51.09665,25699.8,502.9644801,Tier 4
5601,Super built-up  Area,Not Ready,Kanakapura,551,1,1,30,1,51.189553,36714,717.2166555,Tier 2
10818,Super built-up  Area,Not Ready,Vajarahalli,551,1,1,30,1,51.189553,36714,717.2166555,Tier 2
9221,Super built-up  Area,Ready To Move,5th Phase JP Nagar,552,1,1,23.5,1,51.282456,28759.3,560.8019242,Tier 3
1614,Built-up  Area,Ready To Move,Bagalakunte,560,1,1,21,1,52.02568,25699.8,493.9829715,Tier 4
10126,Super built-up  Area,Ready To Move,Bethel Nagar,560,1,0,19,1,52.02568,23252.2,446.9369742,Tier 4
3909,Plot  Area,Not Ready,Frazer Town,560,1,0,90,1,52.02568,110142,2117.069878,Tier 1
10831,Super built-up  Area,Not Ready,Haralur Road,560,1,1,45,1,52.02568,55071,1058.534939,Tier 1
212,Built-up  Area,Ready To Move,Cooke Town,565,1,1,35,1,52.490195,42833,816.0190679,Tier 2
10316,Super built-up  Area,Ready To Move,Kamala Nagar,565,1,1,33,1,52.490195,40385.4,769.3894069,Tier 2
2266,Built-up  Area,Ready To Move,Yelahanka,567,1,1,25,1,52.676001,30595,580.8147813,Tier 3
2301,Built-up  Area,Ready To Move,Electronic City Phase II,575,1,1,16.75,1,53.419225,20498.65,383.7316996,Tier 4
7554,Super built-up  Area,Not Ready,Haralur Road,575,1,1,88,1,53.419225,107694.4,2016.023258,Tier 1
10272,Super built-up  Area,Not Ready,Haralur Road,575,1,1,38,1,53.419225,46504.4,870.5554976,Tier 2
874,Built-up  Area,Ready To Move,Electronics City Phase 1,580,1,1,27,1,53.88374,33042.6,613.2202405,Tier 3
2331,Built-up  Area,Ready To Move,Malleshwaram,580,1,1,45,1,53.88374,55071,1022.033734,Tier 1
11124,Super built-up  Area,Not Ready,Thanisandra,580,1,1,27.5,1,53.88374,33654.5,624.5761708,Tier 3
11596,Super built-up  Area,Ready To Move,Hulimavu,581,1,1,29,1,53.976643,35490.2,657.5103235,Tier 3
5857,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,581.91,2,1,25,1,54.06118473,30595,565.9328436,Tier 3
8706,Super built-up  Area,Ready To Move,Rayasandra,583,1,1,26.9,1,54.162449,32920.22,607.8052342,Tier 3
8921,Super built-up  Area,Ready To Move,Electronics City Phase 1,585,1,1,21,1,54.348255,25699.8,472.8725881,Tier 4
3920,Plot  Area,Not Ready,Pulkeshi Nagar,588,1,0,88.2,1,54.626964,107939.16,1975.931886,Tier 1
4670,Super built-up  Area,Ready To Move,Electronic City,589,1,1,27,1,54.719867,33042.6,603.8501519,Tier 3
12859,Super built-up  Area,Ready To Move,Electronic City,589,1,1,29,1,54.719867,35490.2,648.5797928,Tier 3
6322,Super built-up  Area,Not Ready,Chandapura,590,1,0,13.57,1,54.81277,16606.966,302.9762225,Tier 4
12654,Super built-up  Area,Not Ready,Akshayanagara East,595,1,1,40,1,55.277285,48952,885.5717136,Tier 2
4899,Super built-up  Area,Not Ready,Bannerghatta Road,595,1,1,33.32,1,55.277285,40777.016,737.6812374,Tier 2
5931,Super built-up  Area,Not Ready,Bannerghatta Road,595,1,1,31.83,1,55.277285,38953.554,704.6936911,Tier 2
316,Built-up  Area,Ready To Move,Venkatadri Layout,595,1,1,42,1,55.277285,51399.6,929.8502993,Tier 1
662,Built-up  Area,Ready To Move,Venkatadri Layout,596,1,1,42,1,55.370188,51399.6,928.2901478,Tier 1
529,Built-up  Area,Ready To Move, Mysore Highway,600,1,1,17,1,55.7418,20804.6,373.2315785,Tier 4
10094,Super built-up  Area,Ready To Move,1st Block HBR Layout,600,1,0,45,1,55.7418,55071,987.965943,Tier 1
957,Built-up  Area,Ready To Move,5th Phase JP Nagar,600,1,1,30,1,55.7418,36714,658.643962,Tier 3
1031,Built-up  Area,Ready To Move,6th Phase JP Nagar,600,1,1,75,1,55.7418,91785,1646.609905,Tier 1
991,Built-up  Area,Ready To Move,9th Phase JP Nagar,600,1,0,20,1,55.7418,24476,439.0959747,Tier 4
10220,Super built-up  Area,Ready To Move,A Narayanapura,600,2,1,35,1,55.7418,42833,768.4179556,Tier 2
2377,Built-up  Area,Ready To Move,Amruthahalli,600,1,1,55,1,55.7418,67309,1207.51393,Tier 1
5665,Super built-up  Area,Ready To Move,Anekal,600,1,1,16.5,1,55.7418,20192.7,362.2541791,Tier 4
3319,Plot  Area,Ready To Move,Anjanapura,600,2,0,55,1,55.7418,67309,1207.51393,Tier 1
373,Built-up  Area,Ready To Move,Arekere,600,1,1,28,1,55.7418,34266.4,614.7343645,Tier 3
8940,Super built-up  Area,Ready To Move,Austin Town,600,2,0,23,1,55.7418,28147.4,504.9603709,Tier 4
467,Built-up  Area,Ready To Move,Basavangudi,600,1,0,97.5,1,55.7418,119320.5,2140.592876,Tier 1
9383,Super built-up  Area,Ready To Move,Battarahalli,600,1,0,47,1,55.7418,57518.6,1031.87554,Tier 1
3756,Plot  Area,Ready To Move,Bidrahalli,600,1,1,35,1,55.7418,42833,768.4179556,Tier 2
3823,Plot  Area,Ready To Move,BTM 4th Stage,600,1,0,58,1,55.7418,70980.4,1273.378326,Tier 1
2610,Plot  Area,Ready To Move,Chelekare,600,1,1,60,1,55.7418,73428,1317.287924,Tier 1
4558,Super built-up  Area,Ready To Move,Ganga Nagar,600,1,0,38,1,55.7418,46504.4,834.2823518,Tier 2
1977,Built-up  Area,Ready To Move,Giri Nagar,600,1,1,125,1,55.7418,152975,2744.349842,Tier 1
4926,Super built-up  Area,Ready To Move,Hosapalya,600,1,0,90,1,55.7418,110142,1975.931886,Tier 1
4094,Plot  Area,Ready To Move,Jalahalli,600,1,0,37,1,55.7418,45280.6,812.3275531,Tier 2
2,Built-up  Area,Ready To Move,Kengeri,600,1,1,15,1,55.7418,18357,329.321981,Tier 4
1833,Built-up  Area,Ready To Move,Kengeri,600,1,1,35,1,55.7418,42833,768.4179556,Tier 2
1233,Built-up  Area,Ready To Move,Kereguddadahalli,600,1,1,19.5,1,55.7418,23864.1,428.1185753,Tier 4
12828,Super built-up  Area,Ready To Move,Lake City,600,1,1,22.8,1,55.7418,27902.64,500.5694111,Tier 4
3643,Plot  Area,Ready To Move,Moodalapalya,600,1,0,52,1,55.7418,63637.6,1141.649534,Tier 1
3721,Plot  Area,Ready To Move,Naganathapura,600,1,0,33,1,55.7418,40385.4,724.5083582,Tier 2
5188,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,600,1,1,22,1,55.7418,26923.6,483.0055721,Tier 4
990,Built-up  Area,Ready To Move,Ramamurthy Nagar,600,1,1,43,1,55.7418,52623.4,944.0563455,Tier 1
1525,Built-up  Area,Ready To Move,Singasandra,600,1,0,45,1,55.7418,55071,987.965943,Tier 1
1742,Built-up  Area,Ready To Move,Singasandra,600,1,0,45,1,55.7418,55071,987.965943,Tier 1
486,Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,600,1,0,32,1,55.7418,39161.6,702.5535594,Tier 2
2598,Plot  Area,Ready To Move,Sulthangunta,600,1,0,50,1,55.7418,61190,1097.739937,Tier 1
4441,Plot  Area,Ready To Move,Sunkadakatte,600,1,0,24,1,55.7418,29371.2,526.9151696,Tier 4
9721,Super built-up  Area,Not Ready,Tunganagara,600,1,0,18,1,55.7418,22028.4,395.1863772,Tier 4
8020,Super built-up  Area,Ready To Move,Venkatadri Layout,600,1,1,43,1,55.7418,52623.4,944.0563455,Tier 1
4078,Plot  Area,Ready To Move,Venkateswara Nagar,600,1,0,20,1,55.7418,24476,439.0959747,Tier 4
2223,Built-up  Area,Not Ready,Yelahanka,602,1,1,33,1,55.927606,40385.4,722.1013537,Tier 2
8499,Super built-up  Area,Not Ready,Yelahanka,602,1,1,26,1,55.927606,31818.8,568.9283393,Tier 3
10470,Super built-up  Area,Ready To Move,Yelahanka,602,1,1,38,1,55.927606,46504.4,831.5106497,Tier 2
12899,Super built-up  Area,Not Ready,Yelahanka,602,2,1,30,1,55.927606,36714,656.4557761,Tier 3
